id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5104170509796833	,P1KuCF6Br,"不敢信这双含情脉脉的大眼睛，小学毕业时就已经近视800度了。你不清楚自己什么样子，可别人知道你有多美～ 
椰奶小糯的微博视频
 ",,,"https://f.video.weibocdn.com/o0/zNnFmgadlx08jPFgSfCU0104120094FE0E010.mp4?label=mp4_720p&template=952x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732888420&ssig=yQt1Ur7hom&KID=unistore,video",,2024-11-24T09:42:23,iPhone 15,0,1,0,,,2024-11-24 09:42:23,True
5104142861467781	,P1JM269PT,"上网冲浪我们需要良好情感互动。
网上遇到没眼色的直接删评拉黑就行
多关注一秒都是你浪费自己的时间
全国多少网友，你才活几年呢？一秒一秒的你的人生重要部分就过去了
时间精力要留在有用的地方，留给有用的人
 ",,,,,2024-11-24T07:52:31,,4,1,0,,,2024-11-24 07:52:31,True
5104012575640783	,P1GnTnFqn,"医美
  12月待做项目：
打botox 100u✅
好久没打了前一次打是4月5号，打算打打额眉肌，剩下的打下颌缘提升，上次刚哥说我可以打下鼻翼👃这边肌肉，可能法令纹会浅点，到时问问医生吧看能否操作
唯缇填充口周✅
我之前用保柔缇有点奢侈，现在闲赋穷打算用唯缇平替打打看，面诊过老吴他说我这种缺不多的打唯缇也可以
 美迪迈✅
第三次黄微了，今年连续做满3次抵个小热玛吉了吧？
msdk♻️
待定看情况吧 我现在在正畸我感觉打这种玩意都浪费 
但我囤了还没用完
inmode♻️
超塑也是看情况 如果打了💉缩脂紧致就配合超塑压一下
翠绿宝石脱毛✅
怪我我冲动买了全身卡 对于我来说好浪费
上次脱了护士说我后背手臂都没啥毛的，没啥必要，我全身上下就小腿有点毛，其他地方天生没啥毛#糯糯科技变美##上微博学变美#",,,,,2024-11-23T23:14:48,医美超话,3,2,0,"糯糯科技变美,上微博学变美",,2024-11-23 23:14:48,True
5103999751295736	,P1G3d5r4Y,"#小糯每日好物分享#天冷了给大家分享下免穿bra的保暖内衣不过百👋～
🌟第一件低胸的方便穿搭，我去哈尔滨时穿在里面好暖和，去年就分享过👉
网页链接
缺点：洗几次就起球🈶点粘毛，这价格我觉得完全可以接受，你穿一季扔掉🫳买新的就是了
🌟第二件新买的，淡淡纯欲可以当内搭，我感觉哪怕脱掉外套也不尴尬。不过这件我还没测试没有长久反馈哈，就到手感觉还行。",,"https://wx4.sinaimg.cn/large/007XWY3Vgy1hvwj7cecjhj30m80m8dhv.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hvwj7cw8f2j30m80m8q7s.jpg,https://wx4.sinaimg.cn/large/007XWY3Vgy1hvwj7gxq9vj30wr0ingpw.jpg,https://wx3.sinaimg.cn/large/007XWY3Vgy1hvwj7lvd87j30wr0g4dk6.jpg",,,2024-11-23T22:23:51,iPhone 15,2,4,1,小糯每日好物分享,,2024-11-23 22:23:51,True
5103960505983050	,P1F1Up6sO,"我现在的状态：恋爱不涉及未来时，我也爱谈，纯纯享乐也开心呀。
真是疫情改变价值观、人生观。
我鼓励活的开心，别憋屈！ ",,,,,2024-11-23T19:47:54,,3,1,0,,,2024-11-23 19:47:54,True
5103909234280622	,P1DHdhXAi,"在那个无美颜无滤镜的年代 这些港风美女有多美 
椰奶小糯的微博视频
 ",,,"https://f.video.weibocdn.com/o0/6KzS7vBglx08jOw2UW5q01041200W5VT0E010.mp4?label=mp4_720p&template=1064x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732888420&ssig=AAzURhrAih&KID=unistore,video",,2024-11-23T16:24:10,iPhone 15,5,2,0,,,2024-11-23 16:24:10,True
5103860319782089	,P1CqjF2LD,"大女主的一天是怎么度过的呢？
周末从160支埃及棉的床品中醒来，缓缓穿上真丝睡衣，再去浴室开始进行护肤，用各种精华和美容仪，早餐🍳是面包机煎好的吐司搭配水果🍓、咖啡☕️。
然后穿上lululemon的运动套装，跟着健身镜跳一段帕梅拉。这一切运动💪完毕后再点好香薰之后去沐浴🛁，使用N种护发产品和护体产品，再出去跟闺蜜约一个brunch，里面配有188💰/份的蔬菜沙拉🥗…
最后她当天消费“18888元”",,https://wx2.sinaimg.cn/large/007XWY3Vgy1hvw3g72h17j30wr1z0x6p.jpg,,,2024-11-23T13:09:48,iPhone 15,12,4,1,,,2024-11-23 13:09:48,True
5103648906677947	,P1wVks1eP,"非常理解需要很努力才能达到其他人眼中正常水平的感受。
有的人人生唯一的挫折就是这张脸，其他事能给他带来的影响程度基本为零。
拥有诸多不满意，比如额头太尖颧骨太凸眼位高大小脸凸嘴人中长下巴后缩…
不过还是希望我们一直健康不管是身体还是内心上，脸不完美对人生影响带来的严重程度在健康面前不值一提。",,,,,2024-11-22T23:09:43,,4,2,0,,,2024-11-22 23:09:43,True
5103610113035531	,P1vULcJGb,"去年卷胶原，今年Caha，明年童颜
 ",,,,,2024-11-22T20:35:34,iPhone 15,3,0,0,,,2024-11-22 20:35:34,True
5103563271307923	,P1uHd5ufx,"可能是锦鲤本鲤吧 就在刚刚抽到一套丽江别墅🏠的一天试睡  正好是我来的那天
这啥运气 🍀这基本是全国随机抽房源 随机哪天 就哪天 概率极低能刚好抽到你想要的
和房东姐姐两人感叹好有缘分❗️我让她可以把其他房间租给别人，我一个人也住不了300平
看来命运的指引必须要我来丽江了 我比较信命
本人一向实力挺一般但运气极好
我才不告诉你以前20W人参加 我还能抽中大奖
关注糯糯
沾喜气也成锦鲤！！",,"https://wx2.sinaimg.cn/large/007XWY3Vgy1hvv4wpeskij30wr1z0kdd.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hvv4w57ht5j30wr1z07wh.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hvv4v7ty9bj30or1odjxl.jpg,https://wx4.sinaimg.cn/large/007XWY3Vgy1hvv55ziillj30dy08p75r.jpg",,,2024-11-22T17:29:26,iPhone 15,10,5,0,,,2024-11-22 17:29:26,True
5103505992057328	,P1tcP8DcI,"减肥
  听说汉堡王出了个新品：蒜香黄油🍤鸡腿堡 等改天试试 今天没啥胃口
生活化减肥本已经掌握的透透彻彻的了
 其实就是吃少量#糯の减肥100天倒计时# ",,https://wx2.sinaimg.cn/large/007XWY3Vgy1hvuxyijswij34eo3b0hdv.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003YQGkDgx08jMK0wMzu0f0f0100eH9m0k01.mov,,2024-11-22T13:41:50,减肥超话,3,3,0,糯の减肥100天倒计时,,2024-11-22 13:41:50,True
5103480299848141	,P1sxnFjWZ,"医美
  一周了这根红血丝还是没消失 不会要伴我一生了吧？
都打了4次染料激光了
上周做了inmode下颌缘，果然又冒了几颗痘。玫瑰敏感肌同学更加不建议做这个项目了，如果皮肤状态不稳定热能会刺激炎症的。
我觉得还是冷拉提好明显比超塑柔和多了，只不过市场占有率没inmode高 有这台机器的机构不多，所以价格不是很友好…
另外我脸上点状是啥东西？哪位老师知道？我想要0毛孔#糯糯科技变美##上微博学变美#",,https://wx2.sinaimg.cn/large/007XWY3Vgy1hvuvhz51l8j30s10xp7cu.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003r8lgEgx08jMCZW4F10f0f0100gpls0k01.mov,,2024-11-22T11:59:44,医美超话,0,6,1,"糯糯科技变美,上微博学变美",,2024-11-22 11:59:44,True
5103277937266607	,P1ngZuunl,家人们 玉龙雪山🏔️需要跟团吗？ ,,https://wx3.sinaimg.cn/large/007XWY3Vgy1hvu8hhcu3xj30u00u00wv.jpg,,,2024-11-21T22:35:37,iPhone 15,1,3,0,,,2024-11-21 22:35:37,True
5103257502093406	,P1mK28MAC,"别人的松弛感：一直在努力，只是不看重结果[奋笔疾书]
我的松弛感：真的一点都不准备
 ",,,,,2024-11-21T21:14:25,iPhone 15,1,1,0,,,2024-11-21 21:14:25,True
5103172257579568	,P1kwxvNN6,"“当女帝”不知从何时刮的风？
“大女主”妆容精致、穿名牌衣服、拎名牌包，姐弟恋，性自由。
“大女主”，婚姻失败、创业失败、众叛亲离，绝处逢生、凤凰涅槃。
“大女主”，雌雄同体、目标明确、情绪稳定、一切靠自己，把男人踩在脚下。
…
资本在鼓吹一种“大女主”式的消费，“爱自己是终生浪漫的开始”，这是大女主的口号，而大女主主要标榜的是事业成功女性如何不婚不育，然后过高品质的单身生活。就此资本抛弃了男人那一头的消费，专门引导女人为自己消费",,https://wx1.sinaimg.cn/large/007XWY3Vgy1hvtw63kdqqj30wr1z0npd.jpg,,,2024-11-21T15:35:41,iPhone 15,2,1,0,,,2024-11-21 15:35:41,True
5103146198371003	,P1jQvz7Gb,"机构发的前后案例对比🆚  吓死个人
 ",,"https://wx3.sinaimg.cn/large/007XWY3Vgy1hvttcd8fdxj30u01400y4.jpg,https://wx4.sinaimg.cn/large/007XWY3Vgy1hvttcbf5kdj30wr0isgnl.jpg",,,2024-11-21T13:52:08,iPhone 15,3,3,0,,,2024-11-21 13:52:08,True
5103135431857313	,P1jz97NaF,"减肥
这羊肉抓饭好好吃是湿润的🈶葡萄干的清甜，和以往那种干的手抓饭 不一样
现在餐饮好卷6块/串 现烤羊肉串是真羊肉
天冷了就要吃羊肉暖身子 ，最后干一碗羊汤心里都不冷了好嘛
我说句吃外食总归会胖的，希望快点回到正常打工人的状态 自己带饭干净。其实我每天吃的不多，和之前食量🈚️区别，一周还是胖了2斤
这个故事告诉我们：家里自己做的就是干净，外面哪怕明厨，食材、油调料啥总归…
 #糯の减肥100天倒计时##糯糯吃在上海#",,"https://wx2.sinaimg.cn/large/007XWY3Vgy1hvtrumym3qj34eo3b04qt.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hvtruyrrnej34eo3b0u0z.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hvtrvbqbcoj33b04eokjo.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001w3SN0gx08jL6RGuYU0f0f0100fpS80k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001ewPSwgx08jL6TbDYP0f0f0100gmDG0k01.mov,,2024-11-21T13:09:21,减肥超话,1,3,0,"糯の减肥100天倒计时,糯糯吃在上海",,2024-11-21 13:09:21,True
5103104460063729	,P1iLc0gzT,"医美
  谢谢宝宝们喜欢我的眼睛👁️，其实就比较圆，我瞳孔也黑。
但我眼眶骨小这辈子开不了眼角还是很遗憾的#糯糯科技变美# ",,"https://wx1.sinaimg.cn/large/007XWY3Vgy1hvtobjaygrj31nw0ush4n.jpg,https://wx4.sinaimg.cn/large/007XWY3Vgy1hvtobkyijkj31nw0qz170.jpg",,,2024-11-21T11:06:17,医美超话,0,6,1,糯糯科技变美,,2024-11-21 11:06:17,True
5103078066358535	,P1i4CqG91,一个人性取向是女不代表她爱女懂吗，直男性取向还是女呢，他爱女吗？我讨厌和喜欢一个人绝不是因为ta的性别，你关注一个人的性别大于ta的人品还有行为，我觉得这是对别人的一种不尊重。 ,,,,,2024-11-21T09:21:24,iPhone 15,7,2,0,,,2024-11-21 09:21:24,True
5102924866784210	,P1e5wssSK,"我不想当媳妇，我想当夫人。夫人是家里女主人，媳妇是家里的保姆
 ",,,,,2024-11-20T23:12:38,iPhone 15,1,2,0,,,2024-11-20 23:12:38,True
5102912137333679	,P1dKZuLP9,"老天赏饭吃，头骨小脸小五官端正体态好腿直还腕线过裆
 
椰奶小糯的微博视频
 ",,,"https://f.video.weibocdn.com/o0/ZKQEcIz5lx08jK7Xce4E010412003gTX0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732888423&ssig=8p0CyVVddh&KID=unistore,video",,2024-11-20T22:22:04,iPhone 15,0,2,2,,,2024-11-20 22:22:04,True
5102908205435832	,P1dEEmO6I,"医美
  我主要是有点深覆合 ，咬合的问题，牙齿🦷磨损的厉害才戴牙套的，凸嘴不咋凸。
好羡慕卢昱晓，而我长大了才能成人正畸。
学到一个预防牙龈萎缩的Tip👉用一个手指  力度适中按揉  每个牙龈  然后两三个来回    我都是摘牙套的时候按  或者睡觉前按～#糯糯的正畸日记##牙套日记##糯糯科技变美##上微博学变美#",,"https://wx1.sinaimg.cn/large/007XWY3Vgy1hvt1upx3qtj31401heai4.jpg,https://wx3.sinaimg.cn/large/007XWY3Vgy1hvt1u2amt7j30wr1z0ajp.jpg",,,2024-11-20T22:06:26,医美超话,2,0,0,"糯糯的正畸日记,牙套日记,糯糯科技变美,上微博学变美",,2024-11-20 22:06:26,True
5102817284457526	,P1bi0iHBA,"探店博主话术总结：软糯Q弹、料多味美、神仙吃法、糯叽叽、网红爆款、粉丝推荐、每天只卖**份、上过必吃榜…
 ",,,,,2024-11-20T16:05:09,iPhone 15,4,13,0,,,2024-11-20 16:05:09,True
5102768701837369	,P1a1E7HYZ,"#糯糯吃在上海#适🈴爱吃蔬菜🥬的孩子
19.9/人 包含贵州酸汤锅底+蔬菜菌菇🍄+米饭🍚 无限量自助
 其他肉类单点
我建议自己点一个肉 这一顿可以吃撑
每天蔬菜品种随机 今天没有我喜欢的玉米🌽西兰花🥦
  
这可是大上海 要啥自行车🚲#美食探店# ",,"https://wx1.sinaimg.cn/large/007XWY3Vgy1hvslwic9b3j33b04eou11.jpg,https://wx4.sinaimg.cn/large/007XWY3Vgy1hvslwfbd6fj34eo3b0qv8.jpg,https://wx4.sinaimg.cn/large/007XWY3Vgy1hvslwkxgawj33b04eo4qt.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000vdQ04jx08jJuO6uKk0f0f0100echs0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000AC7Sbjx08jJuOg2mb0f0f0100bX9K0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000cgmFujx08jJuOtEsv0f0f0100mto20k01.mov,,2024-11-20T12:52:06,iPhone 15,0,10,0,"糯糯吃在上海,美食探店",,2024-11-20 12:52:06,True
5102563376497167	,P14Gtrgd1,"#小糯每日好物分享#强生身体乳不黏连好吸收 涂了之后感觉自己是块香香软软的果味小蛋糕🧁
大家可以试试便宜随便抹不心疼 ",,https://wx1.sinaimg.cn/large/007XWY3Vgy1hvrycik1bjj30zu13fguu.jpg,,,2024-11-19T23:16:12,iPhone 15,4,2,0,小糯每日好物分享,,2024-11-19 23:16:12,True
5102556000293679	,P14uA1eoL,"临时捡漏了✈️丽江往返 
还没做攻略 。主要我是个旅游躺平派，不想受累，但我挺想看日照金山的，就一想到我都没爱人爬玉龙雪山🏔️腿软
我真的就想一周全躺在丽江算了😐什么大理、香格里拉一个也不想去
 ",,https://wx2.sinaimg.cn/large/007XWY3Vgy1hvrxc1vm6cj30wr1z04hd.jpg,,,2024-11-19T22:46:54,iPhone 15,2,22,0,,,2024-11-19 22:46:54,True
5102519925606652	,P13yonwxS,"在想要不要去丽江玩
 ",,https://wx2.sinaimg.cn/large/007XWY3Vgy1hvrtel2ux9j30wr1z0kjl.jpg,,,2024-11-19T20:23:33,iPhone 15,3,0,0,,,2024-11-19 20:23:33,True
5102501575263991	,P134Nm5p5,"喜欢这种淡淡的疏离感 
椰奶小糯的微博视频
 ",,,"https://f.video.weibocdn.com/o0/DnRjG7hslx08jIjUSY8M010412007Yqh0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732888423&ssig=XT2A758V4S&KID=unistore,video",,2024-11-19T19:10:38,iPhone 15,3,0,0,,,2024-11-19 19:10:38,True
5102472228766236	,P12jsAMuU,"#糯糯的Gap碎片#今天面的这家公司比较喜欢，不管是昨天第一次电话沟通的Hr还是今天网面的Hr主管气场比较舒服投机
。
工作就和对象一样就给看看对不对眼 投不投缘 有的面试官一眼就劝退谁懂？整个气氛压抑难受
现在就等负责人出差回来安排复面了，不知道有没有终面🤷♀️可能我好久没在城外了 现在行情每家公司不论大小都要好几面吗？
我找工作也是随缘的  我都买了随心飞本来想没合适的就到处旅游散散心，等年后再说。
如果遇到合适的就去上班呗，不过北京的公司基本都集中在海淀和朝阳 所以我就说北京每个区都承载着不同属性定位。这点上海就比较资源平均，各区都可以找到相应的生态圈 比如每个区都有互联网厂子…",,,,,2024-11-19T17:14:01,iPhone 15,0,0,0,糯糯的Gap碎片,,2024-11-19 17:14:01,True
5102417567548804	,P10TivFMU,"减肥
  每月必吃蟹粉小笼！主要这家品控不错 吃过好几次，端上来没🈶破过一个皮。今天还点了炸猪排也还行，可惜没辣酱油少了灵魂
希望年底可以瘦到93左右#糯の减肥100天倒计时# ",,https://wx3.sinaimg.cn/large/007XWY3Vgy1hvrhkm94cyj34eo3b0npf.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000tAhLzgx08jHWZE6wU0f0f0100gbCq0k01.mov,,2024-11-19T13:36:49,减肥超话,1,1,0,糯の减肥100天倒计时,,2024-11-19 13:36:49,True
5102354917756426	,P0ZgfwxNE,"衣品是怎么判断的？人设真真假假，我连一个人的人品都判断不出来，咋判断衣品
 ",,,,,2024-11-19T09:27:52,iPhone 15,0,3,0,,,2024-11-19 09:27:52,True
