id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105114496369437	,P293bqIYR,#动漫嘉年华##工藤新一# ,,https://wx3.sinaimg.cn/large/008tQquPly1hw03evamzij30sg0h8dig.jpg,,,2024-11-27T00:13:27,窝在工藤宅沙发,9,0,17,"动漫嘉年华,工藤新一",,2024-11-27 00:13:27,True
5105046041135071	,P27gM4LhB,#废文邀请码#谁能送我一个…… ,,,,,2024-11-26T19:41:26,窝在工藤宅沙发,2,3,0,废文邀请码,,2024-11-26 19:41:26,True
5104998181243507	,P261A5duz,#工藤新一柯永一# 那怎么办呢大家就是只对和#工藤新一# 有关的事情感兴趣呀,,,,,2024-11-26T16:31:15,窝在工藤宅沙发,2,0,0,"工藤新一柯永一,工藤新一",,2024-11-26 16:31:15,False,6006533885,名侦探spade,5104995739633846	,P25XDEqcC,“据说“与#工藤新一#有关的、在任何作品中都没有描述过的令人惊讶的新事实”刺激了核心粉丝。” ,,https://wx4.sinaimg.cn/large/006yuNQNgy1hvzprvp12ij30ki0zkjwa.jpg,,,2024-11-26T16:21:33,,302,30,26,工藤新一,,2024-11-26 16:21:33
5104971443867391	,P25ksge5h,"。这段竟然是m7里的吗。。。丝麻编剧能不能别把漫画里脚截的剧情移花接木给工藤新
 ",,https://wx3.sinaimg.cn/large/008tQquPly1hvzmxiabd4j30qo087gme.jpg,,,2024-11-26T14:45:01,窝在工藤宅沙发,9,6,0,,,2024-11-26 14:45:01,True
5104942416925582	,P24zDt3EW,"#柯南迷宫的十字路口内地定档#嘻嘻谁也不能拦着我看我老公我老婆我宝宝工藤新一
谁懂二十六部剧场版里工藤新一唯一一次本体出场的含金量
 ",,https://wx1.sinaimg.cn/large/008tQquPly1hvzjjx5uq8j30p20sgag8.jpg,,,2024-11-26T12:49:40,窝在工藤宅沙发,10,0,0,柯南迷宫的十字路口内地定档,,2024-11-26 12:49:40,True
5104939787358638	,P24vouSjI,"#柯南迷宫的十字路口内地定档#工藤新一我们要看工藤新一！
 ",,"https://wx2.sinaimg.cn/large/008tQquPly1hvzjccrx4xg30u00u0x6z.gif,https://wx1.sinaimg.cn/large/008tQquPly1hvzjcfq8rxg30u00u0x71.gif,https://wx2.sinaimg.cn/large/008tQquPly1hvzjciam9xg30u00u0u17.gif,https://wx3.sinaimg.cn/large/008tQquPly1hvzjcju5c2g30u00u04qt.gif",,,2024-11-26T12:39:13,窝在工藤宅沙发,12,1,0,柯南迷宫的十字路口内地定档,,2024-11-26 12:39:13,True
5104637885024516	,P1WEsl56A,"#工藤新一# #江户川柯南# 
团子们被我揉吧揉吧吃了 ",,"https://wx2.sinaimg.cn/large/008tQquPly1hvykf7h8p5j30qo0qu0up.jpg,https://wx2.sinaimg.cn/large/008tQquPly1hvykq1q8poj30qo0wg42f.jpg,https://wx4.sinaimg.cn/large/008tQquPly1hvykff3jgnj30qo0c6dhc.jpg,https://wx2.sinaimg.cn/large/008tQquPly1hvykfpiy90j30qo0t0acp.jpg,https://wx1.sinaimg.cn/large/008tQquPly1hvykg70lsdj30qo0m6q4u.jpg,https://wx3.sinaimg.cn/large/008tQquPly1hvykg799kdj30qo0rb0ve.jpg,https://wx1.sinaimg.cn/large/008tQquPly1hvykh8l1u4j30qo0cota8.jpg,https://wx3.sinaimg.cn/large/008tQquPly1hvykhi4dt0j30qk0o676j.jpg,https://wx2.sinaimg.cn/large/008tQquPly1hvykq1g78ij30qo0hatai.jpg",,,2024-11-25T16:39:34,工藤新一超话,15,5,2,"工藤新一,江户川柯南",,2024-11-25 16:39:34,True
5104622251541164	,P1Wff6sVu,笑死我了宝，又娇又萌人怎么能可爱成这样 ,,https://wx4.sinaimg.cn/large/008tQquPly1hvyiuoikjoj30qm140tn0.jpg,,,2024-11-25T15:37:27,窝在工藤宅沙发,2,0,0,,,2024-11-25 15:37:27,True
5104621783092813	,P1WeucYA5,#工藤新一# 初中生小新谁亲＾3＾ ,,"https://wx1.sinaimg.cn/large/008tQquPly1hvyit0g0bxj31z41401kx.jpg,https://wx1.sinaimg.cn/large/008tQquPly1hvyit16uf4j31z41401kx.jpg,https://wx3.sinaimg.cn/large/008tQquPly1hvyit1obzmj31z4140qe5.jpg,https://wx2.sinaimg.cn/large/008tQquPly1hvyit1z9ctj31z4140al8.jpg",,,2024-11-25T15:35:35,工藤新一超话,16,2,1,工藤新一,,2024-11-25 15:35:35,True
5104524469470213	,P1THwDJDn,好涩……又虚弱又有一股浑然天成的s感…… ,,https://wx2.sinaimg.cn/large/008tQquPly1hvy7m7hbanj30qo0drwhv.jpg,,,2024-11-25T09:08:54,窝在工藤宅沙发,12,0,0,,,2024-11-25 09:08:54,True
