id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105428470173397	,P2hdB0J6J,鼻子正面现在没有第二个月那会好看 感觉有点大 鼻翼 ,,,,,2024-11-27T21:01:04,Xr改的iPhone 15 Plus,3,2,0,,,2024-11-27 21:01:04,True
5105427855447470	,P2hcBmR8q,"感觉鼻翼又被我扣鼻屎扣大了
 ",,,,,2024-11-27T20:58:37,Xr改的iPhone 15 Plus,6,2,0,,,2024-11-27 20:58:37,True
5105425825402071	,P2h9kmFkb,有个互关好像我那个去世的朋友感觉和他说好冒犯呀 ,,,,,2024-11-27T20:50:33,Xr改的iPhone 15 Plus,0,0,0,,,2024-11-27 20:50:33,True
5105423767570392	,P2h60vLp6,这男的反反复复被车碾压,,,,,2024-11-27T20:42:23,Xr改的iPhone 15 Plus,0,0,0,,,2024-11-27 20:42:23,False,7273533309,树莓三明治,5105393301456649	,P2giS66Wl,"椰奶现场打电话给元英☎️
🐰：请问哪位？
👤：元英 你好 我是…
💛：元英啊！
🐰：惠元欧尼？
💛：我是叡娜啊 叡娜！
🐰：啊 莫呀～ 欧尼～
💛：你认识车恩秀吗？ 非常有名的？
🐰：不认识不认识
👤：（窃窃私语）问元英为什么没有号码
💛：但是你为什么没有我的号码？
🐰：这是谁的号码啊？哈哈哈
💛：这是我的号码啊
🐰：因为我最近换了个手机哈哈
         欧尼 这是什么？ 是拍摄还是什么？
💛：欧尼现在在拍摄
         因为车恩秀是你的粉丝 非常想给你打电话             
         现在让他接一下
👤：元英xi
🐰：你好 前辈nim 是明秀前辈吧？
👤：我是车恩秀
🐰：车恩秀 车恩秀是谁？
         感觉要更加努力活动了
👤：是MickyVicky吗？
💛：LuckyVicky！
👤：LuckyVicky xi 
🐰：啊对对
👤：车恩秀是朴明秀社长培养的爱豆
🐰：啊原来如此
         看来是新人组合啊
👤：是solo solo
🐰：啊 是solo吗
👤：我是车恩秀
         我本来是张元英的粉丝
🐰：啊 真的吗 太感谢了
👤：但是我出演了崔叡娜的MV
          更喜欢叡娜了 不好意思
🐰：没关系 喜欢一个人是好事
👤：真的是LuckyVicky呀
🐰：是的 因为有很多喜欢我的人 所以没关系
👤：我这种人不喜欢也没关系的意思吧？
🐰：不是 因为是恩秀的选择
👤：不是说不需要我这样的人的喜欢是吧？
🐰：不是 希望车恩秀也喜欢我
👤：因为叡娜和我们在一起 所以成为了叡娜的粉丝
🐰：祝拍摄开心～
👤：啊 你是想挂断吗
🐰：对
👤：是说不需要我这样的粉丝吗
🐰：不是 我马上就要赶行程了
👤：我现在在做放送 不是行程
🐰：啊 拍摄fighting 真的
👤：真的要这样挂断吗
🐰：叡娜欧尼行程也要fighting～
👤：所以说你不需要我这种人对吧
🐰：不是不是 等放送出来后我一定会观看的
👤：元英 我开玩笑的 元英撒浪嘿
🐰：我也爱大家哦～
👤：不对 不是大家 不爱我吗
🐰：前面的作家nim和叡娜欧尼 也爱你们哦～
👤：就不能只爱我一人吗？
         被我抓到你就死定了～
💛：元英 谢谢你 保存好号码
🐰：对不起 欧尼 好久不见 很高兴见到你~
💛：把我的号码保存起来～
👤：元英啊 谢谢 你出现在我眼前你就死定了～
🐰：拍摄加油～
👤：元英啊谢谢你
💛：拜拜～
🐰：欧尼 我们早点再见吧～
 
树莓三明治的微博视频
 #崔叡娜打电话给张元英#",,,"https://f.video.weibocdn.com/o0/QcJhdnSllx08jV31HjJu01041201fpi20E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732804913&ssig=sjSfjE7KCo&KID=unistore,video",,2024-11-27T18:41:19,张元英超话,8455,315,1351,崔叡娜打电话给张元英,,2024-11-27 18:41:19
5105423118504877	,P2h4XzGvr,地租是前辈还不快点退役,,,,,2024-11-27T20:39:48,Xr改的iPhone 15 Plus,2,0,0,,,2024-11-27 20:39:48,False,7926562903,柠檬味的小魚刺身,5105334585397866	,P2eMamEem,刚出道的时候就拿是前辈这个理由欺负芙芙和元英三年过去了还在这前辈前辈的，怎么办又丑又糊的我们公畜团留给粉丝吹的就只有出道早了 ,,https://wx2.sinaimg.cn/large/008Er36Lgy1hw0skpz3fcj30w10avtag.jpg,,,2024-11-27T14:48:00,iPhone 15,17,5,2,,,2024-11-27 14:48:00
5105422149096480	,P2h3oCapq,不应该这死老头给张元英下跪吗？？？//@至柔驰骋至坚://@引捣搔痒://@老老实实做个宝子:这个死老头算哪根葱//@x1a0gli2n:乱儿干得好,,,,,2024-11-27T20:35:57,Xr改的iPhone 15 Plus,2,0,1,,"至柔驰骋至坚,引捣搔痒,老老实实做个宝子,x1a0gli2n",2024-11-27 20:35:57,False,2118872917,追星课代表,4994085293655271	,NDtAtfkTZ,"张元英可能腰不太好吧，才会见到PD都不鞠躬打招呼，公主天生就是不需要弯腰的
 ",,"https://wx3.sinaimg.cn/large/7e4b6f55gy1hm5vv7h1r4g20au0637wp.gif,https://wx1.sinaimg.cn/large/7e4b6f55gy1hm5vv8tg3vg20al05yb2h.gif,https://wx4.sinaimg.cn/large/7e4b6f55gy1hm5vvadlv1g20cs0774qx.gif,https://wx4.sinaimg.cn/large/7e4b6f55gy1hm5vv646y6g20ai05wx6w.gif",,,2024-01-25T15:03:02,iPhone客户端,399,54,69,,,2024-01-25 15:03:02
5105421977649475	,P2h37w5YD,"我知道tara这个组合还是江苏卫视
 ",,,,,2024-11-27T20:35:16,Xr改的iPhone 15 Plus,0,1,0,,,2024-11-27 20:35:16,True
5105420727487084	,P2h16vpJq,刚刚要洗澡发现我裤子破个大洞 额滴神 ,,,,,2024-11-27T20:30:18,Xr改的iPhone 15 Plus,1,0,0,,,2024-11-27 20:30:18,True
5105420247240104	,P2h0kuntS,蒽 张元英唯一队伍互cha男担就是朴成训原因很简单星应该很多股份被嗨比收购了 之前就收购了一部分 ,,,,,2024-11-27T20:28:24,Xr改的iPhone 15 Plus,2,0,0,,,2024-11-27 20:28:24,True
5105414116477031	,P2gQrraYf,"现在才到家 快递站还离我有1km远不去了
 ",,,,,2024-11-27T20:04:02,Xr改的iPhone 15 Plus,2,0,0,,,2024-11-27 20:04:02,True
5105412803663404	,P2gOkfn1a,没有刘海挡住凹陷的太阳穴我真的会跳楼 ,,,,,2024-11-27T19:58:49,Xr改的iPhone 15 Plus,1,0,0,,,2024-11-27 19:58:49,True
5105412119987071	,P2gNdFU5N,我还是很期待kpop还有女团走tara的风格 ,,,,,2024-11-27T19:56:06,Xr改的iPhone 15 Plus,3,1,0,,,2024-11-27 19:56:06,True
5105411455714357	,P2gM9nYz3,转发微博,,,,,2024-11-27T19:53:27,Xr改的iPhone 15 Plus,0,0,0,,,2024-11-27 19:53:27,False,7672695450,就爱骂你担咋了,5105347790376022	,P2f7t1zOS,朴颧骨这个公畜早日暴毙吧 ,,,,,2024-11-27T15:40:29,,32,2,6,,,2024-11-27 15:40:29
5105410962626125	,P2gLmb1aR,我知道小女友这个团还是因为QQ的腾讯新闻给我推送韩国女团下雨天滑倒多次什么的不记得了 然后就去搜才知道的 ,,,,,2024-11-27T19:51:30,Xr改的iPhone 15 Plus,0,2,0,,,2024-11-27 19:51:30,True
5105409334972676	,P2gIJkRCs,"别人爸妈生怕孩子做🐔多给钱 我爸妈一边劝我不要做🐔一边生活费给我1000
 这不是告诉我没钱可以做🐔吗？ ",,,,,2024-11-27T19:45:02,Xr改的iPhone 15 Plus,3,1,0,,,2024-11-27 19:45:02,True
5105409052639857	,P2gIhb4Kl,以前中专包分配包分房 现在中专只能唱rap ,,,,,2024-11-27T19:43:54,Xr改的iPhone 15 Plus,0,0,0,,,2024-11-27 19:43:54,True
5105387248553549	,P2g96zTat,//@少年与海_sea:顺直就是这样，偷人，偷图，偷梗，偷尜图,,,,,2024-11-27T18:17:16,Xr改的iPhone 15 Plus,0,0,2,,少年与海_sea,2024-11-27 18:17:16,False,2209225647,半岛hooker,5105316818062482	,P2ejvxPq2,『树洞』顺直盗txI照片还要骂txl ,,"https://wx1.sinaimg.cn/large/83ae1bafly1hw0qn4odzdj20wr1f8qai.jpg,https://wx2.sinaimg.cn/large/83ae1bafly1hw0qnbfiv8j20wr1vwai8.jpg",,,2024-11-27T13:37:24,,3459,117,96,,,2024-11-27 13:37:24
5105385583938325	,P2g6qgwxn,刚刚想说公司厕所好 打开厕所门就看到了一泡💩 ,,,,,2024-11-27T18:10:39,Xr改的iPhone 15 Plus,1,0,0,,,2024-11-27 18:10:39,True
5105346213315855	,P2f4VdUBx,卧槽我好惨啊 玩手机都要躲在厕所里面来玩 ,,,,,2024-11-27T15:34:12,Xr改的iPhone 15 Plus,2,0,0,,,2024-11-27 15:34:12,True
5105330146775631	,P2eF0sqEn,接高柱全家被亲戚害到暴毙 亲戚继承财产,,,,,2024-11-27T14:30:22,Xr改的iPhone 15 Plus,2,0,0,,,2024-11-27 14:30:22,False,7709681873,她不想死也想去巴黎,5105020796668346	,P26C3rYJY,"豹豹猫猫年薪加起来可能有120w左右。但是家里有在还两百万的贷款。但是豹豹猫猫对缟纻特别好，缟纻每个月生活费都有3k左右用的东西也是最好的，但是缟纻目前在读一个中外合资的专业，每年学费三万多。第四年可以选择出国，缟纻好纠结要不要选择出国，感觉出国了豹豹猫猫压力会特别大，家里还有一个刚上小学的弟弟。
 
6418",,,,,2024-11-26T18:01:07,iPhone客户端,30189,1336,159,,,2024-11-26 18:01:07
5105329907440571	,P2eECvdDd,//@到處都是墨水的痕跡:你厕到底每天什么人投稿 年薪加起来120w洗吧啊哈哈哈哈每个月生活费三千用的东西也是最好的 你爸妈干了两三年贷款不就还完了吗？还有个上小学的弟弟怎么要你养吗？我受不了,,,,,2024-11-27T14:29:25,Xr改的iPhone 15 Plus,1,0,3,,到處都是墨水的痕跡,2024-11-27 14:29:25,False,7709681873,她不想死也想去巴黎,5105020796668346	,P26C3rYJY,"豹豹猫猫年薪加起来可能有120w左右。但是家里有在还两百万的贷款。但是豹豹猫猫对缟纻特别好，缟纻每个月生活费都有3k左右用的东西也是最好的，但是缟纻目前在读一个中外合资的专业，每年学费三万多。第四年可以选择出国，缟纻好纠结要不要选择出国，感觉出国了豹豹猫猫压力会特别大，家里还有一个刚上小学的弟弟。
 
6418",,,,,2024-11-26T18:01:07,iPhone客户端,30189,1336,159,,,2024-11-26 18:01:07
5105329723150298	,P2eEkddxg,//@IntoSomeBarCalledTheBlackDog:谁能无缘无故给我一个亿,,,,,2024-11-27T14:28:41,Xr改的iPhone 15 Plus,1,0,1,,IntoSomeBarCalledTheBlackDog,2024-11-27 14:28:41,False,7554519849,低沉地嘶吼着,5105327962063315	,P2eBu8ELh,好想这么痛苦 ,,https://wx4.sinaimg.cn/large/008ffZIlly1hw0rx6jua1j30u010vn4m.jpg,,,2024-11-27T14:21:41,,217,52,15,,,2024-11-27 14:21:41
5105328389620462	,P2eCaEmIK,模仿张元英吃草莓吃披萨的人是不是以为那么多点赞都是喜欢自己的 ,,,,,2024-11-27T14:23:23,Xr改的iPhone 15 Plus,8,0,0,,,2024-11-27 14:23:23,True
5105327949482268	,P2eBsDMLO,额滴神,,,,,2024-11-27T14:21:38,Xr改的iPhone 15 Plus,0,0,0,,,2024-11-27 14:21:38,False,7516679696,九派新闻,5104972738597407	,P25mxA4zR,"#羊毛月月收入近150万#【#品牌投放人士谈羊毛月商业价值#：北大高学历形象会吸引到更多中高端品牌与其合作】近日，抖音800万粉丝博主羊毛月因“嘲讽大学生难就业”引发质疑，2天内掉粉80万。新榜数据显示，羊毛月一条抖音视频广告报价为32万-35万元。据九派财经记者不完全统计，10月份，羊毛月发布了5条含有植入广告的视频，合作方包括海飞丝、纳爱斯、问界、统一、红叶柿岩景区，仅在抖音这一平台月收入就达到150万元左右。一位品牌投放人士告诉九派财经记者：“羊毛月这一粉丝体量的博主，在小红书平台一条广告的报价一般在2-5万元左右，而且，其北大高学历形象会吸引到更多中高端品牌与其合作。”#吃了流量红利的羊毛月没活在现实里#@九派新闻 
九派新闻的微博视频",,,"https://f.video.weibocdn.com/o0/tQzcg9rllx08jThfMDra01041200guiv0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732804911&ssig=Q8nrAlWOMo&KID=unistore,video",,2024-11-26T14:50:09,微博视频号,98483,3491,1156,"羊毛月月收入近150万,品牌投放人士谈羊毛月商业价值,吃了流量红利的羊毛月没活在现实里",九派新闻,2024-11-26 14:50:09
5105327754448577	,P2eB9iFhf,好封神 ,,https://wx4.sinaimg.cn/large/006As1jegy1hw0rwkrf3rj30u01uo1bd.jpg,,,2024-11-27T14:20:52,Xr改的iPhone 15 Plus,4,1,2,,,2024-11-27 14:20:52,True
5105327320597933	,P2eAs2vy5,我一般都会把朋友圈给我点赞的人回赞 生怕他们下次不给我点赞 ,,,,,2024-11-27T14:19:08,Xr改的iPhone 15 Plus,13,2,13,,,2024-11-27 14:19:08,True
5105319476464401	,P2enNr7Gx,做人要明白一件事 管好自己就行了 没有人需要你管 只要不引导都不关自己的事 ,,,,,2024-11-27T13:47:58,Xr改的iPhone 15 Plus,4,0,0,,,2024-11-27 13:47:58,True
5105319081935674	,P2ena87yy,"减肥好难 
 吃胖好容易 我的一生 ",,,,,2024-11-27T13:46:24,Xr改的iPhone 15 Plus,3,0,0,,,2024-11-27 13:46:24,True
5105318982585762	,P2en0aQFQ,//@好想梦到去台北:我真的投过 然后被骂了,,,,,2024-11-27T13:46:00,Xr改的iPhone 15 Plus,1,0,0,,好想梦到去台北,2024-11-27 13:46:00,False,7959604375,县城痷陵容,5105129330049175	,P29r70cN9,明早不掉称我就去蓬厕投稿了 ,,,,,2024-11-27T01:12:23,iPhone 15,31,10,4,,,2024-11-27 01:12:23
5105318943526388	,P2emWeNne,我//@县城痷陵容:我惨遭,,,,,2024-11-27T13:45:51,Xr改的iPhone 15 Plus,0,0,0,,县城痷陵容,2024-11-27 13:45:51,False,6981015860,到底娥怎么做你们才能放过我,5105263612268193	,P2cVH9w3L,分享图片 ,,https://wx2.sinaimg.cn/large/007CrD80gy1hw0kjf6op3j30th0uc75u.jpg,,,2024-11-27T10:05:59,,98,14,183,,,2024-11-27 10:05:59
5105294197129835	,P2dJ1tUNl,....,,,,,2024-11-27T12:07:31,Xr改的iPhone 15 Plus,4,0,32,,,2024-11-27 12:07:31,False,7924598093,披精斩棘天使翼,5105095383714684	,P28ymfAmg,本只藏在家里会超可惜的颜值 ,,https://wx1.sinaimg.cn/large/008EiNYhly1hw017v3ahvj30ib0ibdh3.jpg,,,2024-11-26T22:57:30,iPhone客户端,9,3,33,,,2024-11-26 22:57:30
5105294105642126	,P2dISnFM2,美丽只是我的武器//@你身上有ta的味道://@沃糙米骂://@粉红表子水母小集美:蓬松不是娥的错//@香扔儿://@没品校花://@枝釹籹钕:我是右边👉,,,,,2024-11-27T12:07:09,Xr改的iPhone 15 Plus,1,0,0,,"你身上有ta的味道,沃糙米骂,粉红表子水母小集美,香扔儿,没品校花,枝釹籹钕",2024-11-27 12:07:09,False,6981015860,到底娥怎么做你们才能放过我,5105263612268193	,P2cVH9w3L,分享图片 ,,https://wx2.sinaimg.cn/large/007CrD80gy1hw0kjf6op3j30th0uc75u.jpg,,,2024-11-27T10:05:59,,98,14,183,,,2024-11-27 10:05:59
5105293845333311	,P2dIsmnr9,转发微博,,,,,2024-11-27T12:06:07,Xr改的iPhone 15 Plus,2,0,0,,,2024-11-27 12:06:07,False,7945283343,你身上有ta的味道,5104916962218516	,P23UA9j8w,因为你经常转发我的微博所以我好喜欢你 ,,,,,2024-11-26T11:08:31,,35,22,324,,,2024-11-26 11:08:31
5105291786453256	,P2dF8r4MM,本人唯一想到能安乐死的办法就是用漏电的紫色心情紫薇然后被快乐的电死 ,,,,,2024-11-27T11:57:56,Xr改的iPhone 15 Plus,5,1,0,,,2024-11-27 11:57:56,True
5105287809466470	,P2dyIDIF0,这男的需要双下颚手术耶 ,,https://wx3.sinaimg.cn/large/006As1jegy1hw0nbgcun0j30kh0olgqx.jpg,,,2024-11-27T11:42:07,Xr改的iPhone 15 Plus,1,0,0,,,2024-11-27 11:42:07,True
5105287457933259	,P2dy9xhNN,半藏森林就是这样,,,,,2024-11-27T11:40:44,Xr改的iPhone 15 Plus,1,0,0,,,2024-11-27 11:40:44,False,7839872221,lilsuccuba,5105261379324442	,P2cS5D7Ie,谢欣桐被挂热搜骂了三天了，男小3至今没被扒出一个字，哇塞这个世界好公平啊，这要是个女小3在早被人族谱都挖出来了还在那跟我说各打五十大板，这群理中客是真傻还是假傻还是爱楠到无可自拔 ,,,,,2024-11-27T09:57:07,iPhone 14 Pro Max,12,1,1,,,2024-11-27 09:57:07
5105287037456476	,P2dxtvhLK,"别看我现在粉丝这么多 其实都是互关重生n次关注我的
 ",,,,,2024-11-27T11:39:04,Xr改的iPhone 15 Plus,0,0,0,,,2024-11-27 11:39:04,True
