id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105990682284765	,P2vQo9An3,,,,,,2024-11-29T10:15:06,微博网页版,2,3,0,,,2024-11-29 10:15:06,False,7311299492,默默姐爱定投,5105775955674165	,P2qg3nO6N,"想不到买的债基在一片绿油油中是红的。
默默姐后期会把其他账户的资金慢慢分批次的转到微博做实盘推送分享。
默默姐不管发的哪个账户的基金都是实盘。
资金或许不大但是真实。
没有虚拟盘，没有机构账户，默默姐生活中就是普通人，普通的不能再普通。所以基金是我的副业，自媒体也是我的副业，偶尔带一下货。
想做场内需要开户的朋友也可以找默默姐。",,https://wx1.sinaimg.cn/large/007YNsZmgy1hw272j8iiyj30u01uoq77.jpg,,,2024-11-28T20:01:51,,170,61,1,,,2024-11-28 20:01:51
5105990095601723	,P2vPrnvgn,"【特斯拉机器人“里程碑”】重仓特斯拉的基金（持仓占比约9%）→$嘉实全球创新龙头股票(QDII)人民币A of017429$←点击可查看  
【特斯拉22个自由度灵巧手来了】当地时间11月28日，特斯拉机器人官方账号发布新动态：准备了新的手来迎接黑色星期五。视频中，Optimus稳稳地接住迎面抛来的网球并放下，手指可相对灵活地弯曲。
灵巧手是特斯拉二代Optimus最引人注目地方。特斯拉Optimus工程师Milan Kovac将最新展示的灵巧手称为“里程碑式的成就”。据他介绍，与上一代产品相比，该新手/前臂拥有双倍的自由度（手上有22个自由度，手腕/前臂上有3个自由度）。小K注：人类的手通常被认为具有27个自由度，手部自由度越高，越能做出更加复杂和精细的动作。
灵巧手目前已经是人形机器人核心零部件之一，主流人形机器人本体厂家都倾向于自研，如特斯拉（Optimus）、Apptronik（Apollo）、优必选（Walker S）、智元（远征A1）、Sanctuary AI（Phoenix）等。
（消息来源：
特斯拉机器人“里程碑”：22个自由度灵巧手来了 三大装置带来产业链增量
）",,https://wx1.sinaimg.cn/large/a7b5ab1bly1hw2vvt7zvbj20cv0fp41o.jpg,,,2024-11-29T10:12:45,微博网页版,3,1,1,,,2024-11-29 10:12:45,True
5105988310928739	,P2vMz3TBF,"【中国光伏产业占据了全球85%以上的份额】光伏相关基金：$汇添富中证光伏产业指数增强发起式C of013817$←点击可查看
【刘汉元：#中国光伏出海正当其时#】通威集团董事局主席刘汉元在#年度管理大会#表示，从市场占有率看，中国光伏产业占据了全球85%以上的份额。从制造成本来看，中国光伏制造成本全球领先。从发电成本来看，近十年里，光伏发电的成本下降了90%以上，全球范围内发电的成本降到了1毛到2毛钱1千瓦时，是当今世界最经济的发电方式。他还指出，美国给予光伏制造的补贴是中国光伏制造全成本的2倍还多，欧盟的成本更高。 
 
网页链接",,,,,2024-11-29T10:05:41,微博网页版,176,3,1,"中国光伏出海正当其时,年度管理大会",,2024-11-29 10:05:41,True
5105987010692904	,P2vKt2UfS,"【#小米15Ultra设计曝光#】重仓小米集团的基金：$华宝中证沪港深新消费指数C of017435$（三季报持仓占比超13%）←点击可查看
【#曝小米15Ultra提供黑红拼色设计#】博主 @数码闲聊站 昨日曝光了一款骁龙 8 至尊版“超大杯”工程机的外观设计，预计为小米 15 Ultra。
该博主透露，这款工程机提供白色和黑红拼色，都是玻纤后盖，黑红是机身黑色 + 镜头 DECO 环红色，“相机味儿十足”；还有个竖向拼色，1/5 白 + 4/5 绿，厚度重量还行。
本月中旬，该博主还一款骁龙 8 至尊版“超大杯”新机的部分规格，预计同样为小米 15 Ultra。这款新机目前主供是2K 定制基材国产屏，参考大杯等深四曲屏，工程机存在部分三星屏，快充是 90W，无线充大概率 50W，马达振感和前代差不多，除了拍照，视频录制也有升级，支持多焦段 4K 120FPS，2 亿潜望镜硬件端也做了。
作为参考，上一代的小米 14 Ultra 手机于今年 2 月发布。目前，小米 15 Ultra 的具体发布时间还未公布。（IT之家）",,"https://wx3.sinaimg.cn/large/a7b5ab1bly1hw2vm1tw0dj20ba07iwei.jpg,https://wx3.sinaimg.cn/large/a7b5ab1bly1hw2vm6mjkzj20go0500st.jpg,https://wx1.sinaimg.cn/large/a7b5ab1bly1hw2vmazstej20gp053mxb.jpg",,,2024-11-29T10:00:31,微博网页版,3,0,0,"小米15Ultra设计曝光,曝小米15Ultra提供黑红拼色设计",数码闲聊站,2024-11-29 10:00:31,True
5105985612678571	,P2vIdbeOL,"【#苹果超八成重要供应商在华设厂#】消费电子（手机产业链）相关基金：$国泰中证消费电子主题ETF发起联接C of014907$←点击可查看
【#苹果高管重申没有中国就没有苹果#】苹果公司副总裁兼大中华区董事总经理葛越 11 月 26 日在接受采访时指出：“没有中国的供应商，就没有今天的苹果。从数字上可以看到，我们全球最重要的 200 家供应商中，超 80% 都在中国设厂。”
在 11 月 26 日在北京开幕的第二届中国国际供应链促进博览会（链博会）上，苹果公司与四家中国供应商 —— 领益智造、歌尔股份、裕同科技和水晶光电科技亮相，展示其与中国供应商一起共同推动的智能制造、绿色制造以及产品性能方面的新成果。
11 月 25 日，苹果公司 CEO 蒂姆・库克首次现身链博会，而这也是他在今年内第三次来华。在回答如何评价苹果在中国的合作伙伴时，库克表示，“我非常重视他们，没有中国的合作伙伴们，苹果就无法取得今天的成就”。这是苹果第二次参展，也是库克年内第三次访华，显示了他对中国市场及中国供应链的重视。
苹果承诺到 2030 年整个供应链和产品全生命周期实现碳中和。目前，苹果在中国的生产已经有大约三分之二由可再生能源驱动。来参展的四家供应商都已经承诺到 2030 年实现 100% 使用可再生能源为苹果生产产品。此外，自 10 年前启动苹果供应商零废弃计划以来，苹果在中国的供应商已经成功地减少了 250 多万吨需要填埋的垃圾。（澎湃新闻） 
 
网页链接",,,,,2024-11-29T09:54:57,微博网页版,107,0,0,"苹果超八成重要供应商在华设厂,苹果高管重申没有中国就没有苹果",,2024-11-29 09:54:57,True
5105979429748784	,P2vyeEU6s,"基金
 #基金# 微博基金日日正收益榜（20241129更新）点击查看详情>> 
日日正收益稳健专区
  
  
Top1 :
$嘉实90天滚动持有短债A of015404$
  连续27个交易日平稳上涨，近一年收益率2.84%，近一年最大回撤0.28%  
Top2 :
$嘉实短债债券A of013737$
  连续27个交易日平稳上涨，近一年收益率2.73%，近一年最大回撤0.27%  
Top3 :
$大成景悦中短债A of008820$
  连续26个交易日平稳上涨，近一年收益率4.13%，近一年最大回撤0.57%  
Top4 :
$中海纯债债券A of000298$
  连续26个交易日平稳上涨，近一年收益率3.93%，近一年最大回撤0.61%  
Top5 :
$申万菱信稳鑫60天滚动持有中短债债券A of016748$
  连续26个交易日平稳上涨，近一年收益率3.67%，近一年最大回撤0.17%",,https://wx4.sinaimg.cn/large/ebd0e12aly8hw2uqratckj20bj2bd1dh.jpg,,,2024-11-29T09:30:22,微博基金,6,2,3,基金,,2024-11-29 09:30:22,True
5105975650944455	,P2vs93XH9,"基金
 #基金# #基金收益榜# 基金日收益排行榜（20241129更新）点击查看详情>>   
每日基金收益排行榜
 
 
日收益Top10: 
Top1:
$摩根中国生物医药混合(QDII)A of001984$
  昨日收益率：3.35%  
 
Top2:
$南方香港优选股票(QDII-LOF) of160125$
  昨日收益率：3.17%  
 
Top3:
$南方香港成长灵活配置混合 of001691$
  昨日收益率：3.15%  
 
Top4:
$华泰柏瑞亚洲领导企业混合(QDII) of460010$
  昨日收益率：2.84%  
 
Top5:
$海富通中国海外混合(QDII) of519601$
  昨日收益率：2.66%  
 
Top6:
$摩根中国世纪混合(QDII) of003243$
  昨日收益率：2.54%  
 
Top7:
$创金合信景气行业3个月持有期股票发起(FOF)A of014301$
  昨日收益率：2.40%  
 
Top8:
$大成港股精选混合(QDII)A of011583$
  昨日收益率：2.33%  
 
Top9:
$景顺长城大中华混合(QDII)A人民币 of262001$
  昨日收益率：2.25%  
 
Top10:
$易方达优势领航六个月持有混合(FOF)A of012652$
  昨日收益率：2.25%",,https://wx2.sinaimg.cn/large/ebd0e12aly8hw2ub52qelj20bj0rt78c.jpg,,,2024-11-29T09:15:22,微博基金,1,0,1,"基金,基金收益榜",,2024-11-29 09:15:22,True
5105775829322659	,P2qfQD7ft,"#基金# #基金热搜榜# 微博今日实时基金热搜榜（截至20241128 20:00） 点击查看详情>> 
$在微博开户买基金$
  
 
Top1:
$大成国企改革灵活配置混合A of002258$
   
 
Top2:
$宏利印度股票(QDII) of006105$
   
 
Top3:
$国泰利享中短债债券A of006597$
   
 
Top4:
$前海开源人工智能主题混合 of001986$
   
 
Top5:
$华泰柏瑞生物医药混合A of004905$
   
 
Top6:
$天弘港股通精选C of006753$
   
 
Top7:
$华夏国证半导体芯片ETF联接C of008888$
   
 
Top8:
$前海开源医疗健康C of005454$
   
 
Top9:
$宝盈优势产业混合C of012771$
   
 
Top10:
$交银趋势混合C of013430$",,https://wx4.sinaimg.cn/large/ebd0e12aly8hw27cz0rp3j20bj1jldrh.jpg,,,2024-11-28T20:01:21,微博基金,2,1,1,"基金,基金热搜榜",,2024-11-28 20:01:21,True
5105732100555274	,P2p7k2ks2,"【#特斯拉上海工厂超95%零部件来自中国#】通过基金布局新能源汽车产业：$国泰国证新能源汽车指数(LOF)A of160225$（投资有风险请谨慎）
【#特斯拉对供应链付款周期缩短至90天#】特斯拉全球副总裁@Grace陶琳-Tesla 今日在微博上晒出一张中国新能源汽车制造商向供应商付款时间变化的图片，她表示，2024年特斯拉对供应链伙伴的付款周期比去年又缩短了，现在只需要90天左右。上海超级工厂95%以上的零部件都来自本土的供应商，特斯拉在中国乃至全球所取得的成绩都与这些伙伴密不可分。与供应商伙伴同生共赢，通过技术革新来增效降本，企业才能走得更远，行业才能更繁荣，消费者才能持续得到最棒的产品。（新浪科技）",,https://wx3.sinaimg.cn/large/a7b5ab1bly1hw22cbkdoxj209107imx7.jpg,,,2024-11-28T17:07:35,微博网页版,15,5,5,"特斯拉上海工厂超95%零部件来自中国,特斯拉对供应链付款周期缩短至90天",Grace陶琳-Tesla,2024-11-28 17:07:35,True
5105727625233791	,P2p06lXxZ,"【#芒果TV会员数增近600万#】 传媒相关基金（持仓芒果超媒约3%）：$鹏华中证传媒指数(LOF)A of160629$←点击可查看
【再见爱人助芒果TV会员数增近600万】 2024年11月27日，湖南卫视披露，芒果TV会员规模超7171万，比去年底增长近600万。
云合数据显示，在11月21日，《再见爱人4》在综艺霸屏榜排名第一，舆情热度也排名第一，并与第二名拉开较显著差距。小红书用户对这档节目定义是，“一周一度的离婚届春晚”。麦琳是歌手李行亮的妻子，参加了《再见爱人4》后，靠着种种“意料之外”行径成为绝对主角。
11月27日，芒果超媒报收29.22元/股，涨幅1.46%。同日，上证消费80指数报收4773.27点，涨幅1.55%。#葛夕情绪爆发#；#傅首尔说感受不到李行亮爱麦琳#（消息来源：
网页链接
） 
 
网页链接",,,,,2024-11-28T16:49:48,微博网页版,12,0,0,"芒果TV会员数增近600万,葛夕情绪爆发,傅首尔说感受不到李行亮爱麦琳",,2024-11-28 16:49:48,True
