id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106080206555743	,P2yaMrvrN,是的,,,,,2024-11-29T16:10:50,iPhone 14,1,0,0,,,2024-11-29 16:10:50,False,7063636894,谈美功课小号,5106071788324373	,P2xXcyVy5,"好多妹妹现在都不想上班，想去做博主，其实真没那么容易。
做自媒体博主何尝不是一种打工，KPI也是要背内容指标和带货转化指标的，品牌方投放广告也会下放ROI的要求，都是KPI压在身上。
5105789664755953	,P2qCajXeV,回复@_BIuyl0azeIido0u0:哈哈我的微博橱窗唯一商品//@_BIuyl0azeIido0u0:买到了海宝莉，肤感不错,,,,,2024-11-28T20:56:19,iPhone 14,0,0,0,,"_BIuyl0azeIido0u0,_BIuyl0azeIido0u0",2024-11-28 20:56:19,False,3986506849,上海小汤圆,5103847794017113	,P1C67gR29,"#购物分享# 
真的很喜欢海宝莉这个精华，个人觉得比lamer的修复精华还好用哈哈，就是买不到，她家这个好像没生产了因为不火吧，但是是我觉得她家最好最好用的，还是23年给我寄的。
然后晚上用的资生堂新透白的眼霜和橘灿面霜也很好，早上起来白白嫩嫩亮亮的，资生堂的眼霜，雅顿的橘灿系列都不错的，也是都不火了，没人买。",,"https://wx1.sinaimg.cn/large/ed9d4461gy1hvw1uckyoqj22c02c0x6p.jpg,https://wx1.sinaimg.cn/large/ed9d4461gy1hvw1uay8ixj22c02c01ky.jpg",,,2024-11-23T12:20:01,iPhone 14,19,18,2,购物分享,,2024-11-23 12:20:01
5105652848134828	,P2n3uy8eU,"#购物分享# 
看大排买了个ipad，心痒了，买个mini追剧打游戏吧
之前别人送了一个pro，感觉平时用不到，有点重的。 ",,https://wx2.sinaimg.cn/large/ed9d4461gy1hw1t7l0edbj20u70u077f.jpg,,,2024-11-28T11:52:40,iPhone 14,1,5,0,购物分享,,2024-11-28 11:52:40,True
5105631415240279	,P2muVlZeD,我觉得工作最烦的就是扯皮还有背锅，有意义是可以升职，没有意义是最无语的。 ,,,,,2024-11-28T10:27:30,iPhone 14,6,1,0,,,2024-11-28 10:27:30,True
5105549588824262	,P2kmWB1AO,"天也太黑了，都不敢出门
傻等着灯亮 ",,https://wx1.sinaimg.cn/large/ed9d4461gy1hw1hdcbsvmj22c02c0qv5.jpg,,,2024-11-28T05:02:21,iPhone 14,6,2,0,,,2024-11-28 05:02:21,True
5105547906908513	,P2kkesZdD,起来了遛狗 ，早安呀 ,,,,,2024-11-28T04:55:40,iPhone 14,0,2,0,,,2024-11-28 04:55:40,True
5105339236877210	,P2eTFsR4K,"其实讨厌麦麦和同情麦麦是不冲突的，不诋毁就没问题，每个人的情绪和立场都不同，不是说观点不一样我们彼此就站在对立面，也不代表观点不一致就对对方有看法。
我觉得miss南特别包容，她说男权社会下大家避免不了的男凝和一些厌女思维。
这么一说我感觉我要对🌈gay道歉，以前我说gay是绝对厌女的，因为我自身的局限性，但是gay也会帮助女生啊。我这几年的观察，我关注的几个gay博主就挺站在女生角度考虑的。
结婚生子，很难不说自己不会有“麦麦”化的那一天，每个人面对几乎24小时的真人秀，都不会有完全不指摘的点，何况素人。
就事论事的吐槽没必要上升到全网喷的讨伐，我是这么觉得的。",,,,,2024-11-27T15:06:29,iPhone 14,23,1,1,,,2024-11-27 15:06:29,True
5105336823840873	,P2ePMg7bz,//@我是MISS南:帮转，杭州的小猫希望可以找到家庭//@谢小嘤:人很坏，人也很好。想要生存的小猫咪，有没有谁要？//@别打头会变笨:他在很坚强的练习走路！！,,,,,2024-11-27T14:56:53,iPhone 14,0,0,3,,"我是MISS南,谢小嘤,别打头会变笨",2024-11-27 14:56:53,False,5324493794,一个立志不玩微博然而打脸的人,5103072067455010	,P1hUWvho6,"今年二月，流浪小白被人从高树打落，当场腰椎断裂、口鼻出血，导致瘫痪、大小便失禁。到现在它己经在医院住了9个月了，医疗费已经花掉近两万……重压之下我决定12.18前找不到领养就给它执行安乐……
但是小白一直在努力地康复、努力地干饭、努力地生活，现在走路也越来越好，大小便也能够自理，只是比正常猫猫行动不便一些……但它非常粘人不闹腾，已免疫已绝育，真的很适合进入家庭！
有没有爱心人士可以给它一个活命的机会😭#杭州##领养代替购买##猫# 
一个立志不玩微博然而打脸的人的微博视频",,,"https://f.video.weibocdn.com/o0/6Y9VXyZ9lx08jKPwtbHW010412002Pgy0E010.mp4?label=mp4_ld&template=360x640.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732875674&ssig=P%2BvHXTFz8p&KID=unistore,video",,2024-11-21T08:57:34,iPhone客户端,196,63,134,"杭州,领养代替购买,猫",,2024-11-21 08:57:34
5105307936098733	,P2e5bpAyF,//@果冻出走:其他的没啥我只提一点，下一季再让我看到再见爱人节目请黄执中这个小斗鸡眼啤酒肚给他通告费让他在网络上随便阴女嘉宾，我彻底对节目粉转黑。@再见爱人官微,,,,,2024-11-27T13:02:07,iPhone 14,7,3,4,,"果冻出走,再见爱人官微",2024-11-27 13:02:07,False,1822398137,八酱日常,5105098739681681	,P28DLECE9,再见爱人专组热议：业内人士对《再见爱人》节目伦理的讨论#麦琳穿搭##对麦琳的声讨不应是再见爱人的看点# ,,"https://wx1.sinaimg.cn/large/001ZkB0lly1hw01hb5lspj60le2g0nkq02.jpg,https://wx3.sinaimg.cn/large/001ZkB0lly1hw01hbgtxdj60u01ebqfp02.jpg,https://wx1.sinaimg.cn/large/001ZkB0lly1hw01hbt3ogj60u01eqwu202.jpg,https://wx1.sinaimg.cn/large/001ZkB0lly1hw01hc2ylxj60zo0s3n1002.jpg,https://wx2.sinaimg.cn/large/001ZkB0lly1hw01halqzhj60zo1ie15b02.jpg,https://wx1.sinaimg.cn/large/001ZkB0lly1hw01hcasxfj60zn0hen0702.jpg,https://wx2.sinaimg.cn/large/001ZkB0lly1hw01hckp8xj60zn1ldk7u02.jpg,https://wx3.sinaimg.cn/large/001ZkB0lly1hw01hcumlaj60zo0zgwl202.jpg,https://wx1.sinaimg.cn/large/001ZkB0lly1hw01kzhec0j60zn0xodok02.jpg",,,2024-11-26T23:10:50,,2936,107,509,"麦琳穿搭,对麦琳的声讨不应是再见爱人的看点",,2024-11-26 23:10:50
5105255337427500	,P2cIlvaeo,"早安，柜子做好啦
 ",,"https://wx2.sinaimg.cn/large/ed9d4461gy1hw0jl2hekkj20xc0p0tdc.jpg,https://wx4.sinaimg.cn/large/ed9d4461gy1hw0jl1p6tbj20xc0p0tds.jpg",,,2024-11-27T09:33:06,iPhone 14,5,5,0,,,2024-11-27 09:33:06,True
5105113058775516	,P290RAOUA,"俗话说谁人背后不说谁，但是就事论事的吐槽和主观恶意中伤是不一样的。
动机不一样，发心不一样，结果当然也不一样。 ",,,,,2024-11-27T00:07:44,iPhone 14,21,1,1,,,2024-11-27 00:07:44,True
5105075309511193	,P281YDUil,"我以为我一天吃三顿，每顿都饱了，应该热量不少。没想到还没吃足1000卡，那我还是老老实实吃三顿了
只要不吃零食，我就胖不了 ",,https://wx3.sinaimg.cn/large/ed9d4461gy1hvzyvjq0hjj20wi1ycgz5.jpg,,,2024-11-26T21:37:44,iPhone 14,6,9,0,,,2024-11-26 21:37:44,True
5105064626619432	,P27KKrM12,睡觉也是最好的医美 ,,https://wx1.sinaimg.cn/large/ed9d4461gy1hvzxoge5fnj22c0340e83.jpg,,,2024-11-26T20:55:17,iPhone 14,18,1,0,,,2024-11-26 20:55:17,True
5104727773677147	,P1YZrfqAP,"#记录生活# 
今天好像体会到健身分泌的多巴胺了，好喜欢我的女教练，长得太好看了，她让我贴着她健身的时候我开心的不得了
但我真的很直很直，双不了一点。
回家照镜子感觉脸完全消肿，满意的不行，我知道比我漂亮好看的人很多很多，但是我现在的样子我好喜欢🥰 ",,,,,2024-11-25T22:36:45,iPhone 14,23,3,1,记录生活,,2024-11-25 22:36:45,True
