id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5103647643666135	,P1wTifnJd,"今天的视频内容是壮哥用压岁钱买了一堆零食，接下来由妈妈来做评测。因为买的东西实在太多，视频比较长，所以我们决定分成两部分发布。如果你喜欢这个系列，请表达你的喜好；如果不感兴趣，也可以表明。
抽奖详情
 
·熊猫小姐·的微博视频
 ",,,"https://f.video.weibocdn.com/o0/Oi2EClDilx07TBw6YAYU01041203o4kc0E020.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871052&ssig=j9qbTt97yB&KID=unistore,video",,2024-11-22T23:04:42,微博视频号,100,1,0,,,2024-11-22 23:04:42,True
5103636084686851	,P1wAEjFgn,转发微博,,,,,2024-11-22T22:18:45,微博网页版,0,0,0,,,2024-11-22 22:18:45,False,7054632870,小乔说想去看月亮呀,5103593139734446	,P1vtnEQnc,"从小心脏有问题还坚持当猎人的青梅和国内最顶尖的心脏外科医生久别重逢 
是天降也是竹马 智性恋天菜 冷静自持 愿意花时间陪医院的孤寡老人下棋 偷偷给点错热奶茶的同事加冰块 喜欢小动物喜欢甜食 家里长辈也从小对他赞不绝口 门当户对两小无猜
要爱就去爱一个本身就很好的人的具象化#黎深# ",,,,,2024-11-22T19:28:07,iPhone 15,345,12,12,黎深,,2024-11-22 19:28:07
5103632051603508	,P1wu96J92,"自制火锅的味道真是无与伦比！ 
馋小爷的微博视频
 ",,,"https://f.video.weibocdn.com/o0/xrNfDq8elx081uVMrc3C01041200Zjoe0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871053&ssig=qxX5NlDs1%2B&KID=unistore,video",,2024-11-22T22:02:44,微博视频号,100,1,0,,,2024-11-22 22:02:44,True
5103618139360204	,P1w7HDh12,"📝泡泡的美食日记🍡         一定要尝尝这个软糯且拉丝的梦幻情糕，热腾腾时口感软糯，冷却后变得更加Q弹，搭配斑斓叶的清新香气和椰浆，简直是美味至极～ 
一瓶泡泡儿的微博视频
 ",,,"https://f.video.weibocdn.com/o0/ijqiXxcolx080xEVe4Uo01041200WrvQ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871053&ssig=9IMMhgBdXa&KID=unistore,video",,2024-11-22T21:07:28,微博视频号,100,1,0,,,2024-11-22 21:07:28,True
5103603621036468	,P1vKi4lDe,"重新探访了我最初尝试的日式猪排饭，看看它从成都唯一的一家发展到如今随处可见的情况下，味道是否依旧保持着当年的风味。并将其与专做猪排饭的店铺进行了一番酥脆且高热量的比较。
大红嘿嘿嘿的微博视频
 ",,,"https://f.video.weibocdn.com/o0/KdzQrRC3lx07T6WLnofu01041203UIZL0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871053&ssig=G7ReHaq%2FKn&KID=unistore,video",,2024-11-22T20:09:45,微博视频号,100,1,0,,,2024-11-22 20:09:45,True
5103589379016876	,P1vnjBPHu,"烤排骨、地锅猪蹄以及糖不甩 
海口
 
吃货阿拉蕾的微博视频
 ",,,"https://f.video.weibocdn.com/u0/hQrbsQOlgx080KV1D2XK01041206giW60E030.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871053&ssig=3Fhvdiv0D9&KID=unistore,video",海口,2024-11-22T19:13:11,微博视频号,100,1,0,,,2024-11-22 19:13:11,True
5103571677479397	,P1uULvnJr,"经典泰式船面，传承百年的美味，我一连吃了十二碗仍觉得意犹未尽。
泰国·BangkokThailand
 
小老虎的泰国行的微博视频
 ",,,"https://f.video.weibocdn.com/o0/0005ltm8lx07TQPM6qEw01041205esep0E020.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871053&ssig=AiZrMSW9RI&KID=unistore,video",泰国·BangkokThailand,2024-11-22T18:02:50,微博视频号,100,1,0,,,2024-11-22 18:02:50,True
5103557816881750	,P1uypsSfY,"上海市中心最实惠的卤肉饭，每碗售价仅12元，整个菜单上的美食价格都不超过20元。
快手美食的微博视频
 ",,,"https://f.video.weibocdn.com/o0/9mRuPffFlx080v6ZPic801041200JsiB0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871053&ssig=UTMPugLzlA&KID=unistore,video",,2024-11-22T17:07:46,微博视频号,100,1,0,,,2024-11-22 17:07:46,True
5103543186885444	,P1uaOsTdy,"大家好，这次我终于尝试了生腌……潮汕的生腌！老实说，这是我第一次品尝这样的食物，没想到竟然有点让人着迷？…… 
5吴雨翔的微博视频
 ",,,"https://f.video.weibocdn.com/u0/GUpfHmAKgx07VnpXzXFu0104120bg7v30E040.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871053&ssig=OpBGKhwMjD&KID=unistore,video",,2024-11-22T16:09:38,微博视频号,100,1,0,,,2024-11-22 16:09:38,True
5103528215580414	,P1tMFnpIG,"来探索耶鲁大学的食堂吧
 
今天吃啥的微博视频
 ",,,"https://f.video.weibocdn.com/o0/NmmftOGelx07Z6FaDx9u01041200ILEe0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871053&ssig=x1My8Ya23l&KID=unistore,video",,2024-11-22T15:10:08,微博视频号,100,2,0,,,2024-11-22 15:10:08,True
5103520009160745	,P1tzqCr7X,转发微博,,,,,2024-11-22T14:37:31,微博网页版,0,0,0,,,2024-11-22 14:37:31,False,2319877413,科技青青,5103463853983048	,P1s6RgIaI,"OPPO Find X8 Ultra这配置信息一出，我已经开始想象明年3月用它拍大片了，75mm+150mm焦段覆盖，风景人像都能hold住吧？  
IMX882+LYT900+LYT701，这阵容，OPPO是懂影像的
 ",,https://wx3.sinaimg.cn/large/8a468525ly1hvutu768bwj20i00iwjum.jpg,,,2024-11-22T10:54:23,,85,91,77,,,2024-11-22 10:54:23
5103519335715598	,P1tylnYT4,转发微博,,,,,2024-11-22T14:34:51,微博网页版,0,0,0,,,2024-11-22 14:34:51,False,3560826044,黄博徽,5103493253956658	,P1sShgBj4,#雷军一条视频拯救了这家辣酱企业#“稳辣，K80携跨界狂暴辣？”雷总的流量实在是太大，建议K80每卖一台送一瓶辣椒酱，跨界双赢。 ,,https://wx3.sinaimg.cn/large/d43de4bcgy1hvux7igcfcj213s1ahgzs.jpg,,,2024-11-22T12:51:13,,28,8,2,雷军一条视频拯救了这家辣酱企业,,2024-11-22 12:51:13
5103515961658866	,P1tsU6XxU,转发微博,,,,,2024-11-22T14:21:27,微博网页版,0,0,0,,,2024-11-22 14:21:27,False,1255907130,李光洁,5103465514402145	,P1s9xitcl,#小巷人家收官# 情绪稳定又豁达通透的顶梁柱林武峰，与你“巷”见很幸运，未来的日子要继续把幸福握在自己手里！#电视剧小巷人家# ,,https://wx3.sinaimg.cn/large/001mZEOCgy1hvutyjkkwmj63ot1jkx6r02.jpg,,,2024-11-22T11:00:58,,3762,2255,1579,"小巷人家收官,电视剧小巷人家",,2024-11-22 11:00:58
5103515607241796	,P1tskunVa,转发微博,,,,,2024-11-22T14:20:02,微博网页版,0,0,0,,,2024-11-22 14:20:02,False,1668782455,STEAM打折情报,5103457543395801	,P1rWGefoZ,【大家爱种田】《模拟农场 25》发售一周销量已突破 200 万！#模拟农场25#在该作中，你可以壮大自己独一无二的农场，也可以和好友在线共同经营。还增加了新的农作物、家畜、农用机械，进一步提升了大农场农耕生活体验。 ,,https://wx3.sinaimg.cn/large/63779977ly1hvut41fx8oj21hc0u07sk.jpg,,,2024-11-22T10:29:19,微博网页版,9,4,1,模拟农场25,,2024-11-22 10:29:19
5103514302287581	,P1tqe9B6t,转发微博,,,,,2024-11-22T14:14:51,微博网页版,0,0,0,,,2024-11-22 14:14:51,False,6300913506,littleuyu,5103481419205756	,P1szbCCPW,"#贺峻霖模仿宋亚轩回国照#哈哈哈实在太可爱了吧，俩人关系真的特别好，模仿的也是惟妙惟肖啊
 ",,"https://wx3.sinaimg.cn/large/006SpZrcly1hvuvuubvvdj30u013xtc1.jpg,https://wx1.sinaimg.cn/large/006SpZrcly1hvuvuuoosmj30u01gugo4.jpg",,,2024-11-22T12:04:11,网络邻居,0,0,1,贺峻霖模仿宋亚轩回国照,,2024-11-22 12:04:11
5103513791633412	,P1tpp6QVm,"知名的美食创作者办公室小野竟然大胆地和大熊猫争夺食物！
办公室小野的微博视频
 ",,,"https://f.video.weibocdn.com/o0/2EStzH0Clx081uWGU5kY01041200F2W50E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871060&ssig=zznRpbsZ6o&KID=unistore,video",,2024-11-22T14:12:49,微博视频号,100,1,0,,,2024-11-22 14:12:49,True
5103497972286740	,P1sZT9ASU,"我叫夏师傅，出生于1979年，虽然没有受过多少教育，但我已经做了十几年的猪脚饭。现在，我每天要制作超过500份，虽然很辛苦，但感到非常满足。
吃货的胃艺术的微博视频
 ",,,"https://f.video.weibocdn.com/o0/ZkFDyXRwlx07WfvJL3Mk01041200hSIg0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871060&ssig=IeDYPHrn%2Bo&KID=unistore,video",,2024-11-22T13:09:57,微博视频号,100,1,0,,,2024-11-22 13:09:57,True
5103482583647068	,P1sB4fiLG,"很多女生和我一样，在冬季手脚总是冰冷。我最近学会了做南瓜丸子，这道菜真的能帮助身体保暖，男生们也可以尝试为女朋友准备哦~ 
最爱学做饭的微博视频
 ",,,"https://f.video.weibocdn.com/QHXn6IeXlx07PfwEMPyg01041200qj1b0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871060&ssig=FJxywUNUYV&KID=unistore,video",,2024-11-22T12:08:49,微博视频号,100,1,0,,,2024-11-22 12:08:49,True
5103466717909910	,P1sbtxbJc,"昨日的咖啡时光，偶然买到了草莓牛奶，便决定制作一杯充满少女心的草莓拿铁。这款饮品不仅味道香甜，其粉嫩的色彩渐变也极为吸引人。只需三步，轻松掌握这款饮品的制作方法。
林汤团的微博视频
 ",,,"https://f.video.weibocdn.com/o0/64nBwWzjlx07WphoD43C01041200tFnr0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871060&ssig=JI%2BwbOSrzR&KID=unistore,video",,2024-11-22T11:05:46,微博视频号,100,0,0,,,2024-11-22 11:05:46,True
