id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105774273235295	,P2qdldzEb,大马.碧富，，才1块多一袋？？,,,,,2024-11-28T19:55:10,,5,0,1,,,2024-11-28 19:55:10,False,5901196737,每日白菜优选,4815518462116747	,M6vHM8SF5,"大马.碧富太卷了！！6袋才💰10.9
平时要5r一袋啊啊
5105336992926392	,P2eQ3chhS,9758 【球图】古早表情包，图是金/闪/闪晃酒杯，配字是“愉悦”，老公们求宠。。 ,,,,,2024-11-27T14:57:34,,0,1,0,,,2024-11-27 14:57:34,True
5105336938399325	,P2ePXzf2Z,9756【】求这种绘画笑话 ,,https://wx2.sinaimg.cn/large/0079ArMogy1hw0syl17v7j30tw1080vv.jpg,,,2024-11-27T14:57:21,,9818,193,674,,,2024-11-27 14:57:21,True
5105336396025453	,P2eP5phuJ,9755 【球】类似这种的产品图 ,,https://wx3.sinaimg.cn/large/0079ArMogy1hw0swcws01j30ay0axt93.jpg,,,2024-11-27T14:55:12,,204,12,9,,,2024-11-27 14:55:12,True
5105336291167632	,P2eOV4TKM,9754 【🎸】求双人吉他贝斯乐器动作参考 ,,,,,2024-11-27T14:54:47,,21,7,0,,,2024-11-27 14:54:47,True
5105335364225819	,P2eNqhJkn,9753 【想要各圈】辱骂xx者...不接受道歉本人无父无母无视一切的图 ,,,,,2024-11-27T14:51:06,,41,9,0,,,2024-11-27 14:51:06,True
5105334305948142	,P2eLIoXnM,9752 【想要】两个青蛙玩偶对话，一个说我只要宝贝幸福就好，另一个戴兜帽的说他要含很多几把，总之是嬷嬷语录类似的表情包 ,,,,,2024-11-27T14:46:54,,64,10,3,,,2024-11-27 14:46:54,True
5105334156526687	,P2eLtrnT9,9751 【虎鲸】求一点真的虎鲸表情包 ,,,,,2024-11-27T14:46:18,,7,6,0,,,2024-11-27 14:46:18,True
5105330982227404	,P2eGm9lrS,9750 【】想要这个的GIF，还有想要其他这个文案的可爱猫猫GIF，不是猫的也可以但是要可爱的，不要奶龙不要胖猫不要抽象 ,,https://wx1.sinaimg.cn/large/0079ArMogy1hw0sa32ho3j309v0ast98.jpg,,,2024-11-27T14:33:41,,64,13,3,,,2024-11-27 14:33:41,True
5105330909872477	,P2eGeFqhv,"9749 【求】sprunki的cp連線圖
 ",,,,,2024-11-27T14:33:23,,0,1,0,,,2024-11-27 14:33:23,True
5105330659000526	,P2eFPBLrM,9748 【泉//此//方】求这个妹子坐凳子上看电脑的图，人物背对着的 ,,,,,2024-11-27T14:32:23,,0,0,0,,,2024-11-27 14:32:23,True
5105329828267167	,P2eEuyGFp,9747 【求】一个小燕子（？）指着屏幕说嬷嬷我要你的命 ,,,,,2024-11-27T14:29:06,,120,10,15,,,2024-11-27 14:29:06,True
5105329717117945	,P2eEjtRHz,9746 【求】这种猥琐千纸鹤的表情包 ,,https://wx1.sinaimg.cn/large/0079ArMogy1hw0s4qec9zj30u00w1n3w.jpg,,,2024-11-27T14:28:39,,116,4,7,,,2024-11-27 14:28:39,True
5105329574776182	,P2eE5k2vc,"9745【劳工们】想要一张荡秋千然后飞起来给人一巴掌的动图
 ",,,,,2024-11-27T14:28:06,,5,4,0,,,2024-11-27 14:28:06,True
5105329362174713	,P2eDK97K1,"9744 【劳工们】想要一张荡秋千然后飞起来给人一巴掌的动图
 ",,https://wx1.sinaimg.cn/large/0079ArMogy1hw0s39i7f6j30qo0zkt9t.jpg,,,2024-11-27T14:27:15,,68,5,1,,,2024-11-27 14:27:15,True
5105329203318082	,P2eDudVbs,9743 【球】一女子说我要拉屎动图 ,,,,,2024-11-27T14:26:37,,2,1,0,,,2024-11-27 14:26:37,True
5105329128343260	,P2eDmz0sI,"9742 【求】类似下图这种的上学上班meme图
 ",,https://wx4.sinaimg.cn/large/0079ArMogy1hw0s2aqh3mj30qo0zkt9t.jpg,,,2024-11-27T14:26:19,,100,7,3,,,2024-11-27 14:26:19,True
5105329043410440	,P2eDeejd6,9741 【想要】多邻国笑话和梗图 ,,,,,2024-11-27T14:25:59,,2880,517,413,,,2024-11-27 14:25:59,True
5105327408942143	,P2eAABwg7,"9740 【回8974】你要的O神启动动图+4
 ",,"https://wx1.sinaimg.cn/large/0079ArMogy1hw0rv45vjkg3078078aw4.gif,https://wx4.sinaimg.cn/large/0079ArMogy1hw0rv4mjagg307308ohdt.gif,https://wx3.sinaimg.cn/large/0079ArMogy1hw0rv5a5t4g305m09zqv6.gif,https://wx3.sinaimg.cn/large/0079ArMogy1hw0rv6u2lqg30dc07iu0z.gif",,,2024-11-27T14:19:29,,341,77,93,,,2024-11-27 14:19:29,True
5105326867875489	,P2ezIx2M1,9739 【求】有没有表面是“没关系(=^▽^=)”内心是“干脆一刀捅死我算了”这种类型的表情包 ,,,,,2024-11-27T14:17:20,,7,6,0,,,2024-11-27 14:17:20,True
5105326628538419	,P2ezkzPer,9738 【】求此黄豆人更多表情包 ,,https://wx3.sinaimg.cn/large/0079ArMogy1hw0rryqv1rg30hs083wg2.gif,,,2024-11-27T14:16:23,,75,5,4,,,2024-11-27 14:16:23,True
