id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105784853630345	,P2qupfepX,不管怎么样，支持这几个小女孩！,,,,,2024-11-28T20:37:12,iPhone 16 Pro Max,3,0,1,,,2024-11-28 20:37:12,False,5601400969,-Bruh,5105774337197782	,P2qdructg,"#Newjeans宣布解约# NewJeans紧急记者会内容
1. 最快将于29日凌晨开始解除与HYBE和ADOR的专属合同
5105361764485812	,P2fu0iOXO,incel基本盘//@比格犬受害者联盟://@almostYer替身://@陈猿猿李狮狮:兜里啥都没有的人最喜欢谈自己眼里有什么//@文旦影://@宓婠:恐怖主义//@欢笑刀叉:垃圾//@夏攻狮:怎么？现在incel有侮辱waf的特权了吗？,,,,,2024-11-27T16:36:00,iPhone 16 Pro Max,17,1,7,,"比格犬受害者联盟,almostYer替身,陈猿猿李狮狮,文旦影,宓婠,欢笑刀叉,夏攻狮",2024-11-27 16:36:00,False,7473692775,超酥脆的油条,5104625411686791	,P1Wkl74Oj,牠们的真心话 ,,https://wx4.sinaimg.cn/large/0089MQTRgy1hvxppepwklj30u00ca0tm.jpg,,,2024-11-25T15:50:00,✄╰ひ╯Android,28823,366,1362,,,2024-11-25 15:50:00
5105327827321080	,P2eBguIxW,我风水师给我说过，命运、风水、任何加持在大环境面前都是小儿科，啥玩意儿都拧不过它 ,,,,,2024-11-27T14:21:08,iPhone 16 Pro Max,31,3,2,,,2024-11-27 14:21:08,True
5105326804962221	,P2ezCkOTP,我好喜欢吃蛋挞呀，就是现在流行的那种酥皮蛋挞，好喜欢 ,,,,,2024-11-27T14:17:05,iPhone 16 Pro Max,14,7,0,,,2024-11-27 14:17:05,True
5105324502291667	,P2evU9Can,"我已经将近一个月没有接到工作了，这段时间我也没有出去旅行，任何事没有进展，只有团队公司的支出依然照常。说不焦虑是假的，因为不仅一直在亏本，我这段时间也是真的什么事都没做，没有旅行没有学习没有进步，一切都感觉空空的。
但最近想了想，人生好像很少能有这么干净清澈的留白期，让我明白人生不是一定要追求什么，一定要被人需要。因为没有人需要我的潜台词是我真正自由了。",,,,,2024-11-27T14:07:56,iPhone 16 Pro Max,88,21,0,,,2024-11-27 14:07:56,True
5105302087667572	,P2dVKwaGw,我的年度之歌 听一次哭一次🥹 ,,https://wx2.sinaimg.cn/large/006JlK2agy1hw0oy8jyqjj30k00ncacm.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003DSgHrgx08jUE8EOoU0f0f010065ed0k01.mov,,2024-11-27T12:38:52,iPhone 16 Pro Max,16,5,0,,,2024-11-27 12:38:52,True
5105055844536758	,P27wAj2dw,我很相信水晶的能量，我出门包里都会放1-2块水晶原石 ,,,,,2024-11-26T20:20:23,iPhone 16 Pro Max,14,10,0,,,2024-11-26 20:20:23,True
5105044321736579	,P27e07hLl,我现实生活中遇到过很多人非常喜欢标榜自己讨厌Taylor Swift，并且看不上一切喜欢她的人。这些人身上总会有让人感觉到一种莫名过强的ego，他们想要彰显自己的不同，但只能通过恨的方式来表达，也实在让人觉得心酸 ,,,,,2024-11-26T19:34:36,iPhone 16 Pro Max,913,28,70,,,2024-11-26 19:34:36,True
5105032565098091	,P26V2lofh,我最近在练习看山是山看水是水，不对人事物进行评价或过度批判，一开始进行的挺好的，直到今天看到一枚带梵克雅宝10花手链GM变色墨镜偶练同款发型外加DIOR x AJ Dunk的男生来锻炼。我的内心os几年来都没这么mean过。抱歉！我不是圣人！ ,,,,,2024-11-26T18:47:53,iPhone 16 Pro Max,64,6,0,,,2024-11-26 18:47:53,True
5105031823754640	,P26TQfKKI,健身房莫名其妙开始放Savage，我真的忍不住下蹲，吓坏所有教练 （不是艾斯帕的savage 那个还能忍一下。播放的是Savage Remix（feat.Beyoncé）（Remix｜Explicit）-Megan Thee Stallion。谁能不舞？ ,,,,,2024-11-26T18:44:56,iPhone 16 Pro Max,15,2,0,,,2024-11-26 18:44:56,True
5104938044621777	,P24sAjokN,@怼怼模拟器 骂我 ,,,,,2024-11-26T12:32:17,iPhone 16 Pro Max,6,13,0,,怼怼模拟器,2024-11-26 12:32:17,True
5104930390279561	,P24gf1aJ3,想偷吃鸡翅的小狗 ,,https://wx2.sinaimg.cn/large/006JlK2agy1hvzi9hl27rj33b04eou0z.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002r7vG7gx08jT0HZRkj0f0f0100fchi0k01.mov,,2024-11-26T12:01:53,iPhone 16 Pro Max,24,4,0,,,2024-11-26 12:01:53,True
5104712426457017	,P1YAGr5Lr,"错过了音乐节买票时间一看全部售罄了
 ",,,,,2024-11-25T21:35:46,iPhone 16 Pro Max,1,2,0,,,2024-11-25 21:35:46,True
