id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5103255728947224	,P1mHaBxA4,"第四天了 谁救救我 
查看图片",,,,,2024-11-21T21:07:21,iPhone 16 Pro Max,3,5,0,,,2024-11-21 21:07:21,False,6166913958,好喜欢黄金百香果,5102837178308615	,P1bO5yRrV,"我最近连吃了三天胡麻
 ",,,,,2024-11-20T17:24:12,iPhone 16 Pro Max,5,14,1,,,2024-11-20 17:24:12
5103253660636190	,P1mDQ2Fv8,我刷xhs经常刷出一边骂麦琳一边做留几手梦女的人，这个世界真的要完了我认真觉得 ,,,,,2024-11-21T20:59:09,iPhone 16 Pro Max,36,0,2,,,2024-11-21 20:59:09,True
5103234295006656	,P1m8Bl0sw,如果我要去做柜姐，就算是死也要挤进芮欧百货。因为芮欧百货每家奢侈品店员翻白眼都非常熟练且自然。虽然钱没赚几个，但把气撒了也是行的 ,,,,,2024-11-21T19:42:12,iPhone 16 Pro Max,43,5,0,,,2024-11-21 19:42:12,True
5103221792571971	,P1lOraN5p,我感觉我22.7%的时候是Cunty and Tough as fuck，52.1%的时候是Charm and Sunshine，另外25.2%是Extremely Sensitive and Vulnerable ,,,,,2024-11-21T18:52:31,iPhone 16 Pro Max,11,1,0,,,2024-11-21 18:52:31,True
5103220628393066	,P1lMyzdq2,我有时候真分不清我是needy还是纯M，因为但凡有个人可以发自内心全心全意爱我我就愿意为他做任何事！但我认为这世界能爱上全部的我的人应该不存在！ ,,,,,2024-11-21T18:47:54,iPhone 16 Pro Max,30,13,3,,,2024-11-21 18:47:54,True
5103218594153034	,P1lJhhqoq,给自己定了个小桌板，美美在车里吃麦麦😆 ,,https://wx2.sinaimg.cn/large/006JlK2agy1hvu1o5us83j33b04eoe84.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002B0wsGgx08jLtAc7gY0f0f0100e0Ff0k01.mov,,2024-11-21T18:39:49,iPhone 16 Pro Max,17,10,0,,,2024-11-21 18:39:49,True
5103213512754649	,P1lB5byBP,有把柄在这个大哥手里。我只能这样。 ,,"https://wx1.sinaimg.cn/large/006JlK2agy1hvu136z8hwj310o27owy8.jpg,https://wx1.sinaimg.cn/large/006JlK2agy1hvu1363pxej310o0keaeb.jpg",,,2024-11-21T18:19:37,iPhone 16 Pro Max,57,16,0,,,2024-11-21 18:19:37,True
5103180502796173	,P1kJQbJpz,唉//@Tiger公子:“有几位男士都觉得自己的前女友/老婆等等简直太像麦琳了，而有位女士说感觉自己现在有时候也很像麦琳”道德审判围剿女人的下场就是每年都赛博猎巫，捏造新的辱女词//@Fall66805:对公共议题无法出声，对个人道德无限审判,,,,,2024-11-21T16:08:27,iPhone 16 Pro Max,11,0,1,,"Tiger公子,Fall66805",2024-11-21 16:08:27,False,1344386244,耳帝,5102545982982233	,P14eqcvOx,"昨天吃饭时几个朋友因为麦琳这个人物争执了起来，我发现，原来不同人对同一个人的观感差别可以那么大，情感色彩可以如此截然相反。听了半场后，我似乎有点明白，大家听起来是在讨论麦琳，但其实嘴上是麦琳，心里都是自己的事，可能是无意识地借着麦琳这个人物壳子，在抒发自己的情感喜恶，表达自我生活经验所塑造出的不同价值观，宣泄日常生活中遇到的某一个或厌恶或同情或难以释怀的对象的情绪淤积，甚至是延伸到自己最关心的一些社会议题上去。
在这样的争论里，我感觉麦琳只是一个代号，但代号底下是五花八门形形色色的不同具体人物，因为在席间朋友的讨论中，有几位男士都觉得自己的前女友/老婆等等简直太像麦琳了，而有位女士说感觉自己现在有时候也很像麦琳（并表明自己以前不是这样，是因为某某自己才变成了这样），我也看了几期节目吧，就我的感觉以及对他们的认识来说，都不太像啊，顶多有些人性共同点比较像，可为什么能这么有代入感？
我能够想象这段时间，网络上在轰轰烈烈地讨论着同一个麦琳，同一张脸，但实际上有千千万万个不同的麦琳弥漫在互联网时空里，麦琳被客体化了，各种抽象的、具体的、私我的、公共的内容都施加在这个名字上，麦琳像一个人物模型，但这个模型实在是太宽泛太常见像素太低，各种截然不同的生活经验都能套进来；或者麦琳像一个广泛使用的转码程序，人们把生活里的各种人物格式都转换成了麦琳格式，但实际上原本的信息内容是不同的；麦琳像一个情绪、信息与人物印象的宿主，然而其实大家讨论的是这宿主身上的寄生物。
在我来看，朋友们谈论到的每一个人物、每一个议题、每一个生活中所遇见的那个难以释怀的对象，都应该有一个更精确的、更配套的、更细分的人物与话题模型来代入对应，但不知是不是因为我们这个信息茧房时代，实在是太难有一个共同交集的人物能出现在破多圈层的大广场里了，她给无数小服务器提供了联服模式，大家都纷纷涌入进这个大服务器中开始寻找敌友、造成冲突、互斗中获取经验，以渴望抵达供奉了自己所信仰价值观的最终城堡。这个时代可能有很多原因，很多很严肃的议题，都落脚在了鸡零狗碎的事件与所作所为无关痛痒的人物身上，有很多深刻本该进一步的讨论，都以娱乐化的面貌来呈现或者是从娱乐话题延伸出，但因为人物行为的无聊与浅层、建立在这种议题的本身的摇摇欲坠、以及很多诉求无公共模型可寄寓只能牵强附会于其他模型，于是导致群体之间越激烈讨论越是错位，那一个破圈层的符号看起来像是提供了一个难得的交集，人们寄托了太多的情绪与生活内容在这难得的交集中，渴望在此达成某种连接与共识，但事实上又再度造成了撕裂，就像吃饭前我感觉席间氛围还其乐融融的，但吃完饭后感觉大家都压着一点莫名的不服，像是在暗暗等待着下一个人物代号出现后再较量。",,,,,2024-11-19T22:07:06,微博网页版,58822,2761,2004,,,2024-11-19 22:07:06
5103170625473556	,P1ktUmXVa,钟楚曦是真的美的好让人感慨，薄薄的皮紧紧贴着小小骨，荧幕里看着都好看的让人呼吸不过来，之前活动见到她更是美的有点不可思议 ,,,,,2024-11-21T15:29:12,iPhone 16 Pro Max,70,3,0,,,2024-11-21 15:29:12,True
5103116716606944	,P1j4XrILC,"明年我决定去的音乐节已有八个 
 我以前觉得音乐节好可怕，大家都要比美，比音乐品味，但是去了几次发现以后这也是我自己的心鬼，美国欧洲的音乐节每个都是情怀满满，大家因为音乐聚在一起，友好、和谐、磁场的共振，2024让我倍感幸福的瞬间都在音乐节 ",,,,,2024-11-21T11:54:59,iPhone 16 Pro Max,21,8,0,,,2024-11-21 11:54:59,True
5103103000448513	,P1iIQ1SG5,我必须去！！！！🥺🥹 ,,https://wx1.sinaimg.cn/large/006JlK2agy1hvtoe86shsj310o18mkhg.jpg,,,2024-11-21T11:00:29,iPhone 16 Pro Max,14,10,0,,,2024-11-21 11:00:29,True
5102837178308615	,P1bO5yRrV,"我最近连吃了三天胡麻
 ",,,,,2024-11-20T17:24:12,iPhone 16 Pro Max,5,14,1,,,2024-11-20 17:24:12,True
5102810706216395	,P1b7oq5ar,"贴完膜第二天就被我刮擦了 
 我真的是个小笨蛋 ",,https://wx2.sinaimg.cn/large/006JlK2agy1hvsqtgii6qj33b04eonpf.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003Bx2iegx08jJGh9Exp0f0f010091TD0k01.mov,,2024-11-20T15:39:00,iPhone 16 Pro Max,11,5,0,,,2024-11-20 15:39:00,True
5102526037235094	,P13Ifumb4,"今年看过最好的群像电影
 ",,https://wx1.sinaimg.cn/large/006JlK2agy1hvru03oue0j30u01904qp.jpg,,,2024-11-19T20:47:50,iPhone 16 Pro Max,65,9,0,,,2024-11-19 20:47:50,True
5102477458019501	,P12rTxEeN,美国人特别是洛杉矶人可不可以统一下口供，一会儿说骨头汤不好结果最近发期刊说骨汤不仅好还能补钙步微量元素，之前说猪油不好会肥死结果现在又研究发现猪油才好，不吃猪油更会胖。能不能行了 ,,,,,2024-11-19T17:34:48,iPhone 16 Pro Max,18,6,0,,,2024-11-19 17:34:48,True
5102456230381560	,P11TF1Bgc,"Pitchfork8.0但是没有BNA的专辑听感都好的不行，再高点我这种土土的可能听不懂了
 GUTS、Short n Sweet、Tyla、Bad Mode、Something to Give Each Other、Dawn FM等等，都是我最爱",,,,,2024-11-19T16:10:27,iPhone 16 Pro Max,2,4,0,,,2024-11-19 16:10:27,False,6935399164,BillboardBot,5102432346702198	,P11h8s7xY,"【乐评速递】FLO 首张录音室专辑『Access All Areas』获乐评机构 Pitchfork 评分8.0分。
「这支英国三人组合的首张专辑展现当代女子组合的自信愿景：温柔、任性、团结、观点鲜明、和谐一致。」 ",,https://wx4.sinaimg.cn/large/007zme8Qgy1hvrjdedkg8j318q0jltfl.jpg,,,2024-11-19T14:35:33,,365,27,53,,,2024-11-19 14:35:33
5102455012722421	,P11RHbqe1,如果奥利维亚罗德里戈小姐姐下一张专辑真的叫CUNT我认为我会粉她1辈子 ,,https://wx4.sinaimg.cn/large/006JlK2agy1hvrlz5gswgj310o27onk3.jpg,,,2024-11-19T16:05:37,iPhone 16 Pro Max,11,1,0,,,2024-11-19 16:05:37,True
5102449058124013	,P11I5y5qt,我觉得人真正的老不是多几根皱纹，而是开始对现在新生的音乐影视年轻人的流行嗤之以鼻，坚定觉得自己的年代的流行才是最好的。这种顽固固执不接纳让他们真正变老了。 ,,,,,2024-11-19T15:41:57,iPhone 16 Pro Max,175,10,8,,,2024-11-19 15:41:57,True
5102410723233377	,P10Igdz9f,我支持，狂买,,,,,2024-11-19T13:09:37,iPhone 16 Pro Max,3,0,0,,,2024-11-19 13:09:37,False,1648371701,Google一下下,5102204478558242	,P0VlBzUoa,"啊啊啊啊啊‼️
Olivia Rodrigo 拿着大喇叭大喊：我是娅娅，我是他妈的兰蔻的新代言人。
🫰🏻 
Google一下下的微博视频
 ",,,"https://f.video.weibocdn.com/o0/g5zU0XNClx08jH0PsL6o010412001Ref0E010.mp4?label=mp4_ld&template=360x640.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732804686&ssig=D79Dts0oHu&KID=unistore,video",,2024-11-18T23:30:05,微博视频号,726,36,71,,,2024-11-18 23:30:05
5102407476577155	,P10D1rB19,新色，轮子也做了烤漆，帅吧 ,,https://wx3.sinaimg.cn/large/006JlK2agy1hvrgil62vjj33b04eou11.jpg,,,2024-11-19T12:56:43,iPhone 16 Pro Max,29,10,0,,,2024-11-19 12:56:43,True
5102403170863679	,P10w53CGj,"之前我贴车膜找了个T贴，人看着特别好就是回消息特别慢，我就想着支持下咱LGBT，就一直在找她贴，结果前几天她实在三天没回消息，我找了个大哥给我贴，我才知道同样的材料T姐姐收我6000大哥就收我4200，T姐姐给我贴翘边边大哥贴的特别好
感觉一直以来都是自己想多了 ",,,,,2024-11-19T12:39:37,iPhone 16 Pro Max,46,8,0,,,2024-11-19 12:39:37,True
5102390296182985	,P10bjpWtz,这首真的也太像bee能唱出来得歌了 Afro+R&B 好听惨了！！！ ,,https://wx2.sinaimg.cn/large/006JlK2agy1hvrej2d11gj30nd0xrk1g.jpg,,,2024-11-19T11:48:26,iPhone 16 Pro Max,15,0,1,,,2024-11-19 11:48:26,True
5102380201544277	,P0ZV26tJH,谁救救我 ,,https://wx2.sinaimg.cn/large/006JlK2agy1hvrddtu9y8j310o27okjn.jpg,,,2024-11-19T11:08:20,iPhone 16 Pro Max,6,18,0,,,2024-11-19 11:08:20,True
5102052768221776	,P0RoUyuRi,转发微博,,,,,2024-11-18T13:27:14,iPhone 16 Pro Max,2,0,0,,,2024-11-18 13:27:14,False,1258256457,Houson猴姆,5102038663301569	,P0R2adQT7,"OMFG！#Beyonce#将做客今年#圣诞节#NFL中场秀！预告片曝光了！这将是她新专辑《COWBOY CARTER》的首个现场！坐等12月26日早9点开始！
 
Houson猴姆的微博视频
 ",,,"https://f.video.weibocdn.com/o0/q9qkVfoClx08jGhAUwr601041200c2Vy0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732804686&ssig=MY9O2xyYcF&KID=unistore,video",,2024-11-18T12:31:11,微博视频号,202,33,27,"Beyonce,圣诞节",,2024-11-18 12:31:11
5102008310695581	,P0Qfd2UX3,//@Tiger公子://@闪闪发光的大头荔枝:刚结婚的时候看那些“情感博主”学怎么经营 怎么表达 后来发现就是放屁 你越忍耐男人越张狂 不爽就说出来 发疯就大家一起发疯 男人老实多了 也有眼力见了 至于他怎么想我 看我 I don't car 哈哈哈哈哈哈,,,,,2024-11-18T10:30:34,iPhone 16 Pro Max,9,0,10,,"Tiger公子,闪闪发光的大头荔枝",2024-11-18 10:30:34,False,2128084581,烟波人长安,5101813621327211	,P0Lbc5zgD,"刷到好几个帖子了，女生被自己的男朋友/老公说像麦琳。
要么是吵架拌嘴女生在表达情绪，要么是表达需求，要么是着急了一点，立刻“你是麦琳”就扣上来了。
围攻“坏女人”、“疯女人”的后果就是这样。不追问是什么把麦琳变成“麦琳”，最终“麦琳”就会成为一种在亲密关系里控制女性的枷锁，女方实质做了什么不重要，只要没让对方完全满意，这种“疯女人”式的指责就早晚会落在任意的女人头上。
所谓“好女人”、“坏女人”的区分，陷阱就在这里，看似是在分是非讲对错，其实都没逃出传统两性观念给女人设置的法则，表面上好像只要不做那个恐怖的“坏女人”就好了，其实这套法则里永远都会有新的“坏女人”标准，谁也躲不过。
图四那段话说得很精准，“麦会成为男性攻击打压女性的一把剑”。“坏女人”的形象有多深入人心，用来攻击女人就会有多顺手。",,"https://wx2.sinaimg.cn/large/7ed7fe65ly1hvpjfarupej20ta0lmthr.jpg,https://wx2.sinaimg.cn/large/7ed7fe65ly1hvpjk5ci9zj20o40d4q74.jpg,https://wx1.sinaimg.cn/large/7ed7fe65ly1hvpjfarzb6j20te0jqqdf.jpg,https://wx2.sinaimg.cn/large/7ed7fe65ly1hvpjfrs3nqj20t20iyq8l.jpg",,,2024-11-17T21:36:57,微博网页版,15445,441,2170,,,2024-11-17 21:36:57
